id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.42030224968498,1.08823529411765,0,0,0,0,0,0,0,0
1,3,2.87193961871239,1.32352941176471,0,0,0,0,0,0,0,0
1,4,3.72260701425314,1.02941176470588,0,0,0,0,0,0,0,0
1,5,4.56036607911143,1.05882352941177,0,0,0,0,0,0,0,0
1,6,5.20494140970176,1.26470588235294,0,0,0,0,0,0,0,0
1,7,7.09989382602082,1.25925925925926,0,0,0,0,0,0,0,0
1,8,8.4569362698202,1.21428571428572,0,0,0,0,0,0,0,0
1,9,8.03242291245259,1.26470588235294,0,0,0,0,0,0,0,0
1,10,11.8467532315895,1.09677419354839,0,0,0,0,0,0,0,0
1,11,13.3096766057437,1.00000000000001,0,0,0,0,0,0,0,0
2,3,1.53895481269804,1.21621621621621,0,0,0,0,0,0,0,0
2,4,2.16951379886296,1.05714285714286,0,0,0,0,0,0,0,0
2,5,3.00003127524824,1.02777777777778,0,0,0,0,0,0,0,0
2,6,3.7799636241636,1.16216216216216,0,0,0,0,0,0,0,0
2,7,5.20350036183577,1.37037037037037,0,0,0,0,0,0,0,0
2,8,6.57095995976992,1.32142857142858,0,0,0,0,0,0,0,0
2,9,6.50030047382427,1.16216216216216,0,0,0,0,0,0,0,0
2,10,9.87579658212377,1.19354838709677,0,0,0,0,0,0,0,0
2,11,11.3577817599496,1.08823529411764,0,0,0,0,0,0,0,0
3,4,0.375208275495091,1.28571428571429,0,0,0,0,0,0,0,0
3,5,1.15238829422798,1.25,0,0,0,0,0,0,0,0
3,6,2.04232715464775,1.04651162790698,0,0,0,0,0,0,0,0
3,7,2.87905645123237,1.66666666666667,0,0,0,0,0,0,0,0
3,8,4.18349077278472,1.60714285714286,0,0,0,0,0,0,0,0
3,9,4.50048780643474,1.04651162790698,0,0,0,0,0,0,0,0
3,10,7.20134836558741,1.4516129032258,0,0,0,0,0,0,0,0
3,11,8.63073954639863,1.3235294117647,0,0,0,0,0,0,0,0
4,5,0.896332539532243,1.02857142857143,0,0,0,0,0,0,0,0
4,6,1.93806128007148,1.22857142857143,0,0,0,0,0,0,0,0
4,7,2.8613921500592,1.2962962962963,0,0,0,0,0,0,0,0
4,8,4.39384461449728,1.25,0,0,0,0,0,0,0,0
4,9,4.70037487838685,1.22857142857143,0,0,0,0,0,0,0,0
4,10,7.84481311094395,1.12903225806451,0,0,0,0,0,0,0,0
4,11,9.45182014279587,1.02941176470588,0,0,0,0,0,0,0,0
5,6,1.1272221195389,1.19444444444444,0,0,0,0,0,0,0,0
5,7,1.81015026749983,1.33333333333334,0,0,0,0,0,0,0,0
5,8,3.34553836521493,1.28571428571429,0,0,0,0,0,0,0,0
5,9,3.83586077852072,1.19444444444444,0,0,0,0,0,0,0,0
5,10,6.77791086845345,1.16129032258064,0,0,0,0,0,0,0,0
5,11,8.40778308036846,1.05882352941176,0,0,0,0,0,0,0,0
6,7,0.676877585170409,1.59259259259259,0,0,0,0,0,0,0,0
6,8,1.7702269996337,1.53571428571429,0,0,0,0,0,0,0,0
6,9,2.53192167456734,1,0,0,0,0,0,0,0,0
6,10,4.99058646358801,1.38709677419354,0,0,0,0,0,0,0,0
6,11,6.54917694607035,1.26470588235293,0,0,0,0,0,0,0,0
7,8,2.02202745810296,1.03703703703703,0,0,0,0,0,0,0,0
7,9,2.73152420633535,1.59259259259259,0,0,0,0,0,0,0,0
7,10,5.88358121750053,1.14814814814815,0,0,0,0,0,0,0,0
7,11,7.78990450525685,1.25925925925927,0,0,0,0,0,0,0,0
8,9,1.37076338710946,1.53571428571429,0,0,0,0,0,0,0,0
8,10,4.18674945680733,1.10714285714286,0,0,0,0,0,0,0,0
8,11,6.16137476719702,1.21428571428573,0,0,0,0,0,0,0,0
9,10,2.0480887775225,1.38709677419354,0,0,0,0,0,0,0,0
9,11,3.721634724069,1.26470588235293,0,0,0,0,0,0,0,0
10,11,2.07834709017019,1.09677419354839,0,0,0,0,0,0,0,0
