id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.845940964882925,1.29545454545455,0,0,0,0,0,0,0,0
1,3,2.57835681693449,1.26666666666667,0,0,0,0,0,0,0,0
1,4,3.32906603558376,1.16326530612245,0,0,0,0,0,0,0,0
1,5,5.33635981836975,1.10526315789474,0,0,0,0,0,0,0,0
1,6,6.15117888489706,1.2280701754386,0,0,0,0,0,0,0,0
1,7,6.66570046455343,1.40350877192983,0,0,0,0,0,0,0,0
2,3,1.99497538253536,1.02272727272727,0,0,0,0,0,0,0,0
2,4,2.8793321832069,1.11363636363636,0,0,0,0,0,0,0,0
2,5,5.18691588785047,1.43181818181818,0,0,0,0,0,0,0,0
2,6,6.10650446142944,1.59090909090909,0,0,0,0,0,0,0,0
2,7,6.67845168893947,1.81818181818182,0,0,0,0,0,0,0,0
3,4,0.990790549095752,1.08888888888889,0,0,0,0,0,0,0,0
3,5,3.49784374104429,1.4,0,0,0,0,0,0,0,0
3,6,4.52068549597262,1.55555555555556,0,0,0,0,0,0,0,0
3,7,5.21387073104043,1.77777777777778,0,0,0,0,0,0,0,0
4,5,2.5718315656436,1.28571428571428,0,0,0,0,0,0,0,0
4,6,3.59970025978741,1.42857142857143,0,0,0,0,0,0,0,0
4,7,4.34383218739298,1.63265306122449,0,0,0,0,0,0,0,0
5,6,1.09149524199828,1.11111111111111,0,0,0,0,0,0,0,0
5,7,1.92571973521754,1.26984126984127,0,0,0,0,0,0,0,0
6,7,0.88002525216294,1.14285714285714,0,0,0,0,0,0,0,0
