id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.11322472858248,1.45918367346939,0,0,0,0,0,0,0,0
1,3,2.60451604457181,1.01020408163265,0,0,0,0,0,0,0,0
1,4,3.54648612003796,1.13953488372093,0,0,0,0,0,0,0,0
1,5,4.45935964841791,1.24050632911392,0,0,0,0,0,0,0,0
1,6,5.72024812255206,1.63333333333333,0,0,0,0,0,0,0,0
1,7,6.87849784848193,1.96,0,0,0,0,0,0,0,0
1,8,8.24194528165378,2.39024390243902,0,0,0,0,0,0,0,0
1,9,9.2178255665678,4.26086956521738,0,0,0,0,0,0,0,0
1,10,9.43244614241144,4.26086956521738,0,0,0,0,0,0,0,0
2,3,1.17754095091127,1.44444444444444,0,0,0,0,0,0,0,0
2,4,1.9003411548044,1.66279069767442,0,0,0,0,0,0,0,0
2,5,2.5895416575654,1.81012658227848,0,0,0,0,0,0,0,0
2,6,3.36998022630924,2.38333333333333,0,0,0,0,0,0,0,0
2,7,4.15946337896558,2.86,0,0,0,0,0,0,0,0
2,8,5.02165972551563,3.48780487804877,0,0,0,0,0,0,0,0
2,9,5.47488293534716,6.21739130434781,0,0,0,0,0,0,0,0
2,10,5.62785064297475,6.21739130434781,0,0,0,0,0,0,0,0
3,4,0.813059943594125,1.15116279069767,0,0,0,0,0,0,0,0
3,5,1.62880661327909,1.25316455696203,0,0,0,0,0,0,0,0
3,6,2.51429204570985,1.65,0,0,0,0,0,0,0,0
3,7,3.47690521451571,1.98,0,0,0,0,0,0,0,0
3,8,4.57661536107911,2.41463414634146,0,0,0,0,0,0,0,0
3,9,5.11401844226125,4.30434782608695,0,0,0,0,0,0,0,0
3,10,5.32191344332087,4.30434782608695,0,0,0,0,0,0,0,0
4,5,0.847900231496116,1.08860759493671,0,0,0,0,0,0,0,0
4,6,1.72669317448745,1.43333333333333,0,0,0,0,0,0,0,0
4,7,2.71372345361479,1.72,0,0,0,0,0,0,0,0
4,8,3.89015427285352,2.09756097560975,0,0,0,0,0,0,0,0
4,9,4.34565183153488,3.7391304347826,0,0,0,0,0,0,0,0
4,10,4.57908464218078,3.7391304347826,0,0,0,0,0,0,0,0
5,6,0.828182240642197,1.31666666666667,0,0,0,0,0,0,0,0
5,7,1.7795214842586,1.58,0,0,0,0,0,0,0,0
5,8,2.96966140980565,1.92682926829268,0,0,0,0,0,0,0,0
5,9,3.27448045073142,3.43478260869564,0,0,0,0,0,0,0,0
5,10,3.52300616975419,3.43478260869564,0,0,0,0,0,0,0,0
6,7,1.08517432045968,1.2,0,0,0,0,0,0,0,0
6,8,2.39603960396039,1.46341463414634,0,0,0,0,0,0,0,0
6,9,2.77814710210716,2.60869565217391,0,0,0,0,0,0,0,0
6,10,3.067395109775,2.60869565217391,0,0,0,0,0,0,0,0
7,8,1.43922485812583,1.21951219512195,0,0,0,0,0,0,0,0
7,9,1.55809498225514,2.17391304347826,0,0,0,0,0,0,0,0
7,10,1.86849515928065,2.17391304347826,0,0,0,0,0,0,0,0
8,9,1.53172824164406,1.78260869565217,0,0,0,0,0,0,0,0
8,10,1.45522361898438,1.78260869565217,0,0,0,0,0,0,0,0
9,10,0.565217391304347,1,0,0,0,0,0,0,0,0
