id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.807215976759686,1.16666666666667,0,0,0,0,0,0,0,0
1,3,1.33371383892627,1.09375,0,0,0,0,0,0,0,0
1,4,2.06447358431183,1.02857142857143,0,0,0,0,0,0,0,0
1,5,2.71375748293174,1.2,0,0,0,0,0,0,0,0
1,6,4.86271798838549,1.05714285714286,0,0,0,0,0,0,0,0
1,7,6.00001653108878,1.02857142857143,0,0,0,0,0,0,0,0
1,8,6.73571046521055,1.11428571428571,0,0,0,0,0,0,0,0
1,9,8.21723933095672,1.14285714285715,0,0,0,0,0,0,0,0
1,10,9.7943021985007,1.14285714285714,0,0,0,0,0,0,0,0
1,11,12.1325757555297,1.06060606060606,0,0,0,0,0,0,0,0
1,12,13.5770421176469,1.06060606060606,0,0,0,0,0,0,0,0
2,3,1.638823973662,1.06666666666666,0,0,0,0,0,0,0,0
2,4,2.32495544355343,1.2,0,0,0,0,0,0,0,0
2,5,2.96536722477635,1.4,0,0,0,0,0,0,0,0
2,6,5.19973095933377,1.23333333333333,0,0,0,0,0,0,0,0
2,7,6.39907161540067,1.2,0,0,0,0,0,0,0,0
2,8,7.19415968876069,1.29999999999999,0,0,0,0,0,0,0,0
2,9,8.75892547691803,1.33333333333334,0,0,0,0,0,0,0,0
2,10,10.4499780294662,1.33333333333333,0,0,0,0,0,0,0,0
2,11,13.0156116892078,1.1,0,0,0,0,0,0,0,0
2,12,14.5857815675232,1.1,0,0,0,0,0,0,0,0
3,4,0.841454088289409,1.125,0,0,0,0,0,0,0,0
3,5,1.61626367100178,1.3125,0,0,0,0,0,0,0,0
3,6,3.78263645944611,1.15625,0,0,0,0,0,0,0,0
3,7,4.95695135965715,1.125,0,0,0,0,0,0,0,0
3,8,5.76347252552399,1.21875,0,0,0,0,0,0,0,0
3,9,7.3210387258019,1.25000000000001,0,0,0,0,0,0,0,0
3,10,8.96308013774036,1.25,0,0,0,0,0,0,0,0
3,11,11.3231709862314,1.03125,0,0,0,0,0,0,0,0
3,12,12.8323278890953,1.03125000000001,0,0,0,0,0,0,0,0
4,5,0.799921922554178,1.16666666666666,0,0,0,0,0,0,0,0
4,6,2.79505769750287,1.02777777777778,0,0,0,0,0,0,0,0
4,7,3.89245867902296,1,0,0,0,0,0,0,0,0
4,8,4.69454529806195,1.08333333333333,0,0,0,0,0,0,0,0
4,9,6.18471442515945,1.11111111111111,0,0,0,0,0,0,0,0
4,10,7.73970587886986,1.11111111111111,0,0,0,0,0,0,0,0
4,11,9.84126270281415,1.09090909090909,0,0,0,0,0,0,0,0
4,12,11.2614664195621,1.09090909090909,0,0,0,0,0,0,0,0
5,6,1.8028534060709,1.13513513513513,0,0,0,0,0,0,0,0
5,7,2.80546686185241,1.16666666666666,0,0,0,0,0,0,0,0
5,8,3.58026819917045,1.07692307692308,0,0,0,0,0,0,0,0
5,9,4.9756247010775,1.04999999999999,0,0,0,0,0,0,0,0
5,10,6.4155730556484,1.05,0,0,0,0,0,0,0,0
5,11,8.22909742586904,1.27272727272727,0,0,0,0,0,0,0,0
5,12,9.53334265733809,1.27272727272726,0,0,0,0,0,0,0,0
6,7,1.04684784518043,1.02777777777778,0,0,0,0,0,0,0,0
6,8,1.95375907297585,1.05405405405405,0,0,0,0,0,0,0,0
6,9,3.45698576047878,1.08108108108108,0,0,0,0,0,0,0,0
6,10,4.99377247531023,1.08108108108108,0,0,0,0,0,0,0,0
6,11,6.78595488295267,1.12121212121212,0,0,0,0,0,0,0,0
6,12,8.18750915251083,1.12121212121212,0,0,0,0,0,0,0,0
7,8,0.996348890254371,1.08333333333333,0,0,0,0,0,0,0,0
7,9,2.5111937764389,1.11111111111111,0,0,0,0,0,0,0,0
7,10,4.06934353264794,1.11111111111111,0,0,0,0,0,0,0,0
7,11,5.78289926987782,1.09090909090909,0,0,0,0,0,0,0,0
7,12,7.20872828556215,1.09090909090909,0,0,0,0,0,0,0,0
8,9,1.4938854169045,1.02564102564103,0,0,0,0,0,0,0,0
8,10,2.98905764924465,1.02564102564103,0,0,0,0,0,0,0,0
8,11,4.54710004587105,1.18181818181818,0,0,0,0,0,0,0,0
8,12,5.90277777777778,1.18181818181817,0,0,0,0,0,0,0,0
9,10,1.48028713430874,1.00000000000001,0,0,0,0,0,0,0,0
9,11,2.86942979042862,1.21212121212121,0,0,0,0,0,0,0,0
9,12,4.20556869299807,1.21212121212121,0,0,0,0,0,0,0,0
10,11,1.28920049092392,1.21212121212121,0,0,0,0,0,0,0,0
10,12,2.59135940273397,1.2121212121212,0,0,0,0,0,0,0,0
11,12,1.50450807118865,1,0,0,0,0,0,0,0,0
