id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.947181794429563,1.2,0,0,0,0,0,0,0,0
1,3,2.26041666666667,1.28571428571429,0,0,0,0,0,0,0,0
1,4,3.39174359979964,1.45945945945946,0,0,0,0,0,0,0,0
1,5,4.50288731669078,1.63636363636364,0,0,0,0,0,0,0,0
1,6,4.99021254832901,1.25581395348837,0,0,0,0,0,0,0,0
1,7,7.04000846695181,1.92857142857143,0,0,0,0,0,0,0,0
1,8,6.80991508121131,1.35,0,0,0,0,0,0,0,0
1,9,8.61112665494903,1.8,0,0,0,0,0,0,0,0
1,10,10.2978943203564,1.35,0,0,0,0,0,0,0,0
2,3,1.43194588527792,1.07142857142857,0,0,0,0,0,0,0,0
2,4,2.62376567960316,1.21621621621622,0,0,0,0,0,0,0,0
2,5,3.82115809384698,1.36363636363636,0,0,0,0,0,0,0,0
2,6,4.44842459809748,1.04651162790698,0,0,0,0,0,0,0,0
2,7,6.63064641991685,1.60714285714286,0,0,0,0,0,0,0,0
2,8,6.43530487148258,1.125,0,0,0,0,0,0,0,0
2,9,8.40105813441246,1.5,0,0,0,0,0,0,0,0
2,10,10.295435209799,1.125,0,0,0,0,0,0,0,0
3,4,1.17939093887517,1.13513513513514,0,0,0,0,0,0,0,0
3,5,2.35883210273408,1.27272727272727,0,0,0,0,0,0,0,0
3,6,3.14225581808636,1.02380952380952,0,0,0,0,0,0,0,0
3,7,5.14928170144306,1.5,0,0,0,0,0,0,0,0
3,8,5.16097215178085,1.05,0,0,0,0,0,0,0,0
3,9,7.03441715363526,1.4,0,0,0,0,0,0,0,0
3,10,9.15856906233078,1.05,0,0,0,0,0,0,0,0
4,5,1.19633794965968,1.12121212121212,0,0,0,0,0,0,0,0
4,6,2.22573723741146,1.16216216216216,0,0,0,0,0,0,0,0
4,7,4.13857592063835,1.32142857142857,0,0,0,0,0,0,0,0
4,8,4.31264658417074,1.08108108108108,0,0,0,0,0,0,0,0
4,9,6.19410177983771,1.23333333333333,0,0,0,0,0,0,0,0
4,10,8.57618915417351,1.08108108108108,0,0,0,0,0,0,0,0
5,6,1.3656348152978,1.3030303030303,0,0,0,0,0,0,0,0
5,7,3.08135675851724,1.17857142857143,0,0,0,0,0,0,0,0
5,8,3.44040216373416,1.21212121212121,0,0,0,0,0,0,0,0
5,9,5.29107407362699,1.1,0,0,0,0,0,0,0,0
5,10,7.93581164084362,1.21212121212121,0,0,0,0,0,0,0,0
6,7,1.35636069774687,1.53571428571429,0,0,0,0,0,0,0,0
6,8,1.8949015182012,1.075,0,0,0,0,0,0,0,0
6,9,3.29798610196695,1.43333333333333,0,0,0,0,0,0,0,0
6,10,5.83163645490678,1.075,0,0,0,0,0,0,0,0
7,8,0.929383841724998,1.42857142857143,0,0,0,0,0,0,0,0
7,9,2.51818593520824,1.07142857142857,0,0,0,0,0,0,0,0
7,10,5.75751727659687,1.42857142857143,0,0,0,0,0,0,0,0
8,9,1.1926646551281,1.33333333333333,0,0,0,0,0,0,0,0
8,10,4.10428510827404,1,0,0,0,0,0,0,0,0
9,10,3.5167529086372,1.33333333333333,0,0,0,0,0,0,0,0
