id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.53030303030303,1.2,0,0,0,0,0,0,0,0
1,3,0.914824732286022,1.18032786885246,0,0,0,0,0,0,0,0
1,4,3.32329756467843,1.2,0,0,0,0,0,0,0,0
1,5,4.04105499003985,1.125,0,0,0,0,0,0,0,0
1,6,5.31852367687772,1.14285714285714,0,0,0,0,0,0,0,0
1,7,7.22714981603322,1.30909090909091,0,0,0,0,0,0,0,0
1,8,8.54797579171699,1.3090909090909,0,0,0,0,0,0,0,0
1,9,9.26873182366761,1.16129032258064,0,0,0,0,0,0,0,0
1,10,10.0764866448463,1.2,0,0,0,0,0,0,0,0
1,11,10.3450936248523,1.44,0,0,0,0,0,0,0,0
2,3,0.87337816949573,1.01666666666667,0,0,0,0,0,0,0,0
2,4,2.16666666666667,1,0,0,0,0,0,0,0,0
2,5,2.89795668802361,1.06666666666667,0,0,0,0,0,0,0,0
2,6,4.24260173818969,1.05,0,0,0,0,0,0,0,0
2,7,6.25377012943058,1.09090909090909,0,0,0,0,0,0,0,0
2,8,7.70246321046107,1.09090909090908,0,0,0,0,0,0,0,0
2,9,8.52468868165014,1.03333333333334,0,0,0,0,0,0,0,0
2,10,9.40094557891801,1,0,0,0,0,0,0,0,0
2,11,9.63746134399641,1.2,0,0,0,0,0,0,0,0
3,4,3.01697041940704,1.01666666666667,0,0,0,0,0,0,0,0
3,5,3.71773694604662,1.04918032786885,0,0,0,0,0,0,0,0
3,6,5.0417933338061,1.0327868852459,0,0,0,0,0,0,0,0
3,7,7.07325878877514,1.10909090909091,0,0,0,0,0,0,0,0
3,8,8.49727171714297,1.1090909090909,0,0,0,0,0,0,0,0
3,9,9.21491188765419,1.01639344262295,0,0,0,0,0,0,0,0
3,10,10.0982943172745,1.01666666666667,0,0,0,0,0,0,0,0
3,11,10.3834447093506,1.22,0,0,0,0,0,0,0,0
4,5,0.961336327108749,1.06666666666666,0,0,0,0,0,0,0,0
4,6,2.38350080324163,1.05,0,0,0,0,0,0,0,0
4,7,4.31375344787736,1.0909090909091,0,0,0,0,0,0,0,0
4,8,5.79224434204551,1.09090909090908,0,0,0,0,0,0,0,0
4,9,6.9310779421727,1.03333333333333,0,0,0,0,0,0,0,0
4,10,7.75492674942124,1,0,0,0,0,0,0,0,0
4,11,7.90171024483868,1.2,0,0,0,0,0,0,0,0
5,6,1.3702823633644,1.01587301587301,0,0,0,0,0,0,0,0
5,7,3.16811180674339,1.16363636363637,0,0,0,0,0,0,0,0
5,8,4.59683068438857,1.16363636363635,0,0,0,0,0,0,0,0
5,9,5.77298444985797,1.03225806451613,0,0,0,0,0,0,0,0
5,10,6.54811893619057,1.06666666666667,0,0,0,0,0,0,0,0
5,11,6.59071462261024,1.28,0,0,0,0,0,0,0,0
6,7,1.72035985626479,1.14545454545455,0,0,0,0,0,0,0,0
6,8,3.16106238891318,1.14545454545454,0,0,0,0,0,0,0,0
6,9,4.45709860783896,1.01612903225806,0,0,0,0,0,0,0,0
6,10,5.20597616697837,1.05,0,0,0,0,0,0,0,0
6,11,5.15045008058315,1.26,0,0,0,0,0,0,0,0
7,8,1.54569516843361,1.00000000000001,0,0,0,0,0,0,0,0
7,9,3.11772566303659,1.12727272727273,0,0,0,0,0,0,0,0
7,10,3.85892038537242,1.09090909090909,0,0,0,0,0,0,0,0
7,11,3.72896975309551,1.1,0,0,0,0,0,0,0,0
8,9,1.85052110853843,1.12727272727272,0,0,0,0,0,0,0,0
8,10,2.47329785275267,1.09090909090908,0,0,0,0,0,0,0,0
8,11,2.33665458476986,1.10000000000001,0,0,0,0,0,0,0,0
9,10,0.72692487894495,1.03333333333334,0,0,0,0,0,0,0,0
9,11,0.258928571428571,1.24,0,0,0,0,0,0,0,0
10,11,0.683210699202035,1.2,0,0,0,0,0,0,0,0
