id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.92143033473764,1.06451612903226,0,0,0,0,0,0,0,0
1,3,2.907041034104,1.03125,0,0,0,0,0,0,0,0
1,4,3.62150685616675,1.09090909090909,0,0,0,0,0,0,0,0
1,5,6.25843160380075,1.03030303030303,0,0,0,0,0,0,0,0
1,6,6.98063453843033,1.09090909090909,0,0,0,0,0,0,0,0
2,3,1.11167785999321,1.03225806451613,0,0,0,0,0,0,0,0
2,4,1.94603056871721,1.16129032258065,0,0,0,0,0,0,0,0
2,5,4.58897572720232,1.09677419354839,0,0,0,0,0,0,0,0
2,6,5.38973389460622,1.16129032258064,0,0,0,0,0,0,0,0
3,4,0.897540854098064,1.125,0,0,0,0,0,0,0,0
3,5,3.49031192282881,1.0625,0,0,0,0,0,0,0,0
3,6,4.30520828057138,1.12499999999999,0,0,0,0,0,0,0,0
4,5,2.42238708378192,1.05882352941177,0,0,0,0,0,0,0,0
4,6,3.21916761344557,1,0,0,0,0,0,0,0,0
5,6,0.901812234404951,1.05882352941176,0,0,0,0,0,0,0,0
