id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.607405405417678,1.54545454545453,0,0,0,0,0,0,0,0
1,3,2.37052881607586,1.21428571428571,0,0,0,0,0,0,0,0
1,4,1.91236117648149,1.47826086956522,0,0,0,0,0,0,0,0
1,5,2.83387794330153,1.7,0,0,0,0,0,0,0,0
1,6,3.17316332974547,1.41666666666666,0,0,0,0,0,0,0,0
1,7,5.59618688861513,1.88888888888889,0,0,0,0,0,0,0,0
2,3,2.28875512014718,1.27272727272727,0,0,0,0,0,0,0,0
2,4,1.75724250875281,1.04545454545453,0,0,0,0,0,0,0,0
2,5,2.91654518697454,1.10000000000001,0,0,0,0,0,0,0,0
2,6,3.34902575907853,1.09090909090909,0,0,0,0,0,0,0,0
2,7,6.50811992821273,1.22222222222223,0,0,0,0,0,0,0,0
3,4,0.837647426011525,1.21739130434784,0,0,0,0,0,0,0,0
3,5,0.468170938630088,1.40000000000001,0,0,0,0,0,0,0,0
3,6,0.923277221858288,1.16666666666667,0,0,0,0,0,0,0,0
3,7,3.21305524502169,1.55555555555557,0,0,0,0,0,0,0,0
4,5,1.02431235095559,1.15,0,0,0,0,0,0,0,0
4,6,1.59928684876308,1.04347826086957,0,0,0,0,0,0,0,0
4,7,4.43902439024392,1.27777777777778,0,0,0,0,0,0,0,0
5,6,0.722284026457759,1.20000000000001,0,0,0,0,0,0,0,0
5,7,3.63196031559708,1.11111111111111,0,0,0,0,0,0,0,0
6,7,2.5503990172897,1.33333333333334,0,0,0,0,0,0,0,0
