id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.25294022223636,1.03125,0,0,0,0,0,0,0,0
1,3,5.13492274923635,1,0,0,0,0,0,0,0,0
1,4,11.5937706905307,1.0625,0,0,0,0,0,0,0,0
1,5,15.6387582507497,1.06666666666667,0,0,0,0,0,0,0,0
1,6,16.0321574815441,1.09375,0,0,0,0,0,0,0,0
1,7,19.4042521113286,1.14285714285714,0,0,0,0,0,0,0,0
1,8,22.4323642265903,1.10344827586207,0,0,0,0,0,0,0,0
2,3,2.86302690817308,1.03125,0,0,0,0,0,0,0,0
2,4,9.37038889348506,1.03030303030303,0,0,0,0,0,0,0,0
2,5,13.1633629618195,1.1,0,0,0,0,0,0,0,0
2,6,13.7381358063067,1.06060606060606,0,0,0,0,0,0,0,0
2,7,16.7820577715478,1.17857142857143,0,0,0,0,0,0,0,0
2,8,19.8406044204029,1.13793103448276,0,0,0,0,0,0,0,0
3,4,6.70657818868298,1.0625,0,0,0,0,0,0,0,0
3,5,10.3741780011118,1.06666666666667,0,0,0,0,0,0,0,0
3,6,11.1658650654499,1.09375000000001,0,0,0,0,0,0,0,0
3,7,13.9601914186176,1.14285714285714,0,0,0,0,0,0,0,0
3,8,17.118906914045,1.10344827586207,0,0,0,0,0,0,0,0
4,5,3.26708250967129,1.13333333333334,0,0,0,0,0,0,0,0
4,6,4.51025110712911,1.02941176470589,0,0,0,0,0,0,0,0
4,7,6.48611740894843,1.21428571428571,0,0,0,0,0,0,0,0
4,8,9.57438949700517,1.17241379310345,0,0,0,0,0,0,0,0
5,6,1.61604382153953,1.16666666666667,0,0,0,0,0,0,0,0
5,7,3.35618406267365,1.07142857142857,0,0,0,0,0,0,0,0
5,8,6.82867873040625,1.03448275862069,0,0,0,0,0,0,0,0
6,7,1.44453165618456,1.25,0,0,0,0,0,0,0,0
6,8,4.65908051550946,1.20689655172414,0,0,0,0,0,0,0,0
7,8,3.75758185012896,1.03571428571428,0,0,0,0,0,0,0,0
