id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.07481798828218,1.20408163265305,0,0,0,0,0,0,0,0
1,3,4.61225618564629,1.00000000000001,0,0,0,0,0,0,0,0
1,4,6.07804986560035,1.10204081632653,0,0,0,0,0,0,0,0
1,5,8.17205604483961,1.04081632653061,0,0,0,0,0,0,0,0
1,6,9.07665251703692,1.08163265306122,0,0,0,0,0,0,0,0
2,3,2.11161868492101,1.20408163265306,0,0,0,0,0,0,0,0
2,4,3.5593818060083,1.09259259259259,0,0,0,0,0,0,0,0
2,5,5.39510797692174,1.15686274509804,0,0,0,0,0,0,0,0
2,6,6.26722117245673,1.11320754716981,0,0,0,0,0,0,0,0
3,4,1.6911049607614,1.10204081632653,0,0,0,0,0,0,0,0
3,5,3.67763510968666,1.04081632653061,0,0,0,0,0,0,0,0
3,6,4.66107136964847,1.08163265306122,0,0,0,0,0,0,0,0
4,5,1.90975535943215,1.05882352941177,0,0,0,0,0,0,0,0
4,6,2.85052857295851,1.01886792452831,0,0,0,0,0,0,0,0
5,6,1.04825333730525,1.03921568627451,0,0,0,0,0,0,0,0
