id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.7718565302298,1.10638297872341,0,0,0,0,0,0,0,0
1,3,3.02418750397054,1,0,0,0,0,0,0,0,0
1,4,4.35146767413791,1.07692307692308,0,0,0,0,0,0,0,0
1,5,5.8428315528993,1.30769230769231,0,0,0,0,0,0,0,0
1,6,7.29572669598442,1.25,0,0,0,0,0,0,0,0
1,7,9.82822605391553,1,0,0,0,0,0,0,0,0
1,8,10.8271216165701,1.15384615384616,0,0,0,0,0,0,0,0
1,9,12.7049626774239,1.13043478260869,0,0,0,0,0,0,0,0
2,3,1.42856997099347,1.1063829787234,0,0,0,0,0,0,0,0
2,4,2.87380280761524,1.19148936170213,0,0,0,0,0,0,0,0
2,5,4.60650481150839,1.4468085106383,0,0,0,0,0,0,0,0
2,6,6.07148765727552,1.38297872340426,0,0,0,0,0,0,0,0
2,7,8.56096808030452,1.1063829787234,0,0,0,0,0,0,0,0
2,8,9.70613729717174,1.27659574468085,0,0,0,0,0,0,0,0
2,9,11.5187842686572,1.02173913043478,0,0,0,0,0,0,0,0
3,4,1.43947983479706,1.07692307692308,0,0,0,0,0,0,0,0
3,5,3.23600619763176,1.30769230769231,0,0,0,0,0,0,0,0
3,6,4.60839134637819,1.25,0,0,0,0,0,0,0,0
3,7,6.8050095213599,1,0,0,0,0,0,0,0,0
3,8,8.01900047527426,1.15384615384616,0,0,0,0,0,0,0,0
3,9,9.49613569228104,1.13043478260869,0,0,0,0,0,0,0,0
4,5,1.90431898621232,1.21428571428571,0,0,0,0,0,0,0,0
4,6,3.17359676279349,1.16071428571429,0,0,0,0,0,0,0,0
4,7,5.11359306351263,1.07692307692308,0,0,0,0,0,0,0,0
4,8,6.4028746980965,1.07142857142857,0,0,0,0,0,0,0,0
4,9,7.60109995277777,1.21739130434782,0,0,0,0,0,0,0,0
5,6,1.19404556578077,1.04615384615384,0,0,0,0,0,0,0,0
5,7,2.76335142736336,1.30769230769231,0,0,0,0,0,0,0,0
5,8,4.02953118638276,1.13333333333333,0,0,0,0,0,0,0,0
5,9,4.79821354105833,1.47826086956521,0,0,0,0,0,0,0,0
6,7,1.47692703386618,1.25,0,0,0,0,0,0,0,0
6,8,2.87471737741295,1.08333333333333,0,0,0,0,0,0,0,0
6,9,3.52712770097825,1.41304347826086,0,0,0,0,0,0,0,0
7,8,1.72099227577154,1.15384615384616,0,0,0,0,0,0,0,0
7,9,2.31362784444306,1.13043478260869,0,0,0,0,0,0,0,0
8,9,0.328160889262756,1.30434782608695,0,0,0,0,0,0,0,0
