id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.06874796945876,1.25,0,0,0,0,0,0,0,0
1,3,1.97438584020029,1.1111111111111,0,0,0,0,0,0,0,0
1,4,2.13459997100998,1.15000000000001,0,0,0,0,0,0,0,0
1,5,3.07566427683545,1.2,0,0,0,0,0,0,0,0
1,6,7.00794192327536,1,0,0,0,0,0,0,0,0
1,7,7.88920711903354,1.15,0,0,0,0,0,0,0,0
1,8,11.2146335446222,1.11111111111109,0,0,0,0,0,0,0,0
1,9,12.8856036398547,1.11111111111111,0,0,0,0,0,0,0,0
1,10,12.8778716884505,1.05263157894736,0,0,0,0,0,0,0,0
1,11,14.9340112279998,1.24999999999999,0,0,0,0,0,0,0,0
1,12,16.3087903781555,1.42857142857141,0,0,0,0,0,0,0,0
1,13,18.080154183763,1.24999999999999,0,0,0,0,0,0,0,0
1,14,21.3008771492092,1.8181818181818,0,0,0,0,0,0,0,0
1,15,22.0656987591238,1.24999999999999,0,0,0,0,0,0,0,0
1,16,28.0621279430367,1.24999999999999,0,0,0,0,0,0,0,0
2,3,0.757154446330222,1.38888888888888,0,0,0,0,0,0,0,0
2,4,1.03161820026166,1.08695652173912,0,0,0,0,0,0,0,0
2,5,1.79185532973477,1.04166666666667,0,0,0,0,0,0,0,0
2,6,5.21446231973641,1.25,0,0,0,0,0,0,0,0
2,7,6.1410645340292,1.08695652173913,0,0,0,0,0,0,0,0
2,8,8.84455019460814,1.38888888888887,0,0,0,0,0,0,0,0
2,9,10.3031654862629,1.38888888888889,0,0,0,0,0,0,0,0
2,10,10.3568807726479,1.3157894736842,0,0,0,0,0,0,0,0
2,11,11.9789871547646,1.56249999999999,0,0,0,0,0,0,0,0
2,12,13.0221073341235,1.78571428571427,0,0,0,0,0,0,0,0
2,13,14.7500491534688,1.56249999999999,0,0,0,0,0,0,0,0
2,14,17.0589256532891,2.27272727272725,0,0,0,0,0,0,0,0
2,15,18.2429404989651,1.56249999999999,0,0,0,0,0,0,0,0
2,16,23.4901855288724,1.56249999999999,0,0,0,0,0,0,0,0
3,4,0.419625622782563,1.27777777777778,0,0,0,0,0,0,0,0
3,5,1.50075566755423,1.33333333333332,0,0,0,0,0,0,0,0
3,6,5.40268990149769,1.1111111111111,0,0,0,0,0,0,0,0
3,7,6.44797972962804,1.27777777777777,0,0,0,0,0,0,0,0
3,8,9.75391659226627,1.00000000000001,0,0,0,0,0,0,0,0
3,9,11.5233592603014,1.00000000000001,0,0,0,0,0,0,0,0
3,10,11.5509162801118,1.05555555555555,0,0,0,0,0,0,0,0
3,11,13.6101491237072,1.125,0,0,0,0,0,0,0,0
3,12,14.9901009002607,1.28571428571428,0,0,0,0,0,0,0,0
3,13,16.9381380036632,1.125,0,0,0,0,0,0,0,0
3,14,20.1845527873354,1.63636363636364,0,0,0,0,0,0,0,0
3,15,21.1598177986804,1.125,0,0,0,0,0,0,0,0
3,16,27.5208162800401,1.125,0,0,0,0,0,0,0,0
4,5,1.07336155367059,1.04347826086956,0,0,0,0,0,0,0,0
4,6,4.39042421300562,1.15000000000001,0,0,0,0,0,0,0,0
4,7,5.37945753092559,1.00000000000001,0,0,0,0,0,0,0,0
4,8,8.16093333127993,1.27777777777777,0,0,0,0,0,0,0,0
4,9,9.72265610015492,1.27777777777778,0,0,0,0,0,0,0,0
4,10,9.78861039290234,1.21052631578947,0,0,0,0,0,0,0,0
4,11,11.447303728658,1.4375,0,0,0,0,0,0,0,0
4,12,12.5258534684556,1.64285714285714,0,0,0,0,0,0,0,0
4,13,14.3438794283335,1.4375,0,0,0,0,0,0,0,0
4,14,16.7321924139001,2.09090909090909,0,0,0,0,0,0,0,0
4,15,18.0267352040525,1.4375,0,0,0,0,0,0,0,0
4,16,23.5820639673437,1.4375,0,0,0,0,0,0,0,0
5,6,3.37742872513818,1.2,0,0,0,0,0,0,0,0
5,7,4.47319869490013,1.04347826086956,0,0,0,0,0,0,0,0
5,8,6.98934238891458,1.33333333333331,0,0,0,0,0,0,0,0
5,9,8.46447826450336,1.33333333333333,0,0,0,0,0,0,0,0
5,10,8.56344628189044,1.26315789473683,0,0,0,0,0,0,0,0
5,11,10.092138029179,1.49999999999999,0,0,0,0,0,0,0,0
5,12,11.0605548041758,1.7142857142857,0,0,0,0,0,0,0,0
5,13,12.9383634977535,1.49999999999999,0,0,0,0,0,0,0,0
5,14,15.0526152043356,2.18181818181817,0,0,0,0,0,0,0,0
5,15,16.5126088187179,1.49999999999999,0,0,0,0,0,0,0,0
5,16,21.8826415224488,1.49999999999999,0,0,0,0,0,0,0,0
6,7,1.46437781315639,1.15,0,0,0,0,0,0,0,0
6,8,3.83786716507114,1.11111111111109,0,0,0,0,0,0,0,0
6,9,5.53470541121385,1.11111111111111,0,0,0,0,0,0,0,0
6,10,5.70891548162446,1.05263157894736,0,0,0,0,0,0,0,0
6,11,7.16268192408955,1.24999999999999,0,0,0,0,0,0,0,0
6,12,8.08930474213159,1.42857142857141,0,0,0,0,0,0,0,0
6,13,10.295105513343,1.24999999999999,0,0,0,0,0,0,0,0
6,14,12.2615444975395,1.8181818181818,0,0,0,0,0,0,0,0
6,15,14.2857197971771,1.24999999999999,0,0,0,0,0,0,0,0
6,16,20.3252108852741,1.24999999999999,0,0,0,0,0,0,0,0
7,8,2.22606911397163,1.27777777777776,0,0,0,0,0,0,0,0
7,9,3.87927576846568,1.27777777777778,0,0,0,0,0,0,0,0
7,10,4.05608358628825,1.21052631578947,0,0,0,0,0,0,0,0
7,11,5.24137938492085,1.43749999999999,0,0,0,0,0,0,0,0
7,12,6.00523268294685,1.64285714285713,0,0,0,0,0,0,0,0
7,13,8.05964778507479,1.43749999999999,0,0,0,0,0,0,0,0
7,14,9.53054641030056,2.09090909090908,0,0,0,0,0,0,0,0
7,15,11.7536906509604,1.43749999999999,0,0,0,0,0,0,0,0
7,16,17.3889450776599,1.43749999999999,0,0,0,0,0,0,0,0
8,9,1.89072623058239,1.00000000000001,0,0,0,0,0,0,0,0
8,10,2.13787029735837,1.05555555555555,0,0,0,0,0,0,0,0
8,11,3.33184799663253,1.12500000000001,0,0,0,0,0,0,0,0
8,12,4.0931535825082,1.28571428571429,0,0,0,0,0,0,0,0
8,13,6.61320112092044,1.12500000000001,0,0,0,0,0,0,0,0
8,14,8.08229079498183,1.63636363636365,0,0,0,0,0,0,0,0
8,15,10.8435317093092,1.12500000000001,0,0,0,0,0,0,0,0
8,16,17.2762262395345,1.12500000000001,0,0,0,0,0,0,0,0
9,10,0.352389319200144,1.05555555555556,0,0,0,0,0,0,0,0
9,11,1.42153482042289,1.125,0,0,0,0,0,0,0,0
9,12,2.02643660460918,1.28571428571428,0,0,0,0,0,0,0,0
9,13,4.78788841061756,1.125,0,0,0,0,0,0,0,0
9,14,5.92461561239021,1.63636363636363,0,0,0,0,0,0,0,0
9,15,8.97092574099903,1.125,0,0,0,0,0,0,0,0
9,16,15.3350696073279,1.125,0,0,0,0,0,0,0,0
10,11,1.01337987719818,1.1875,0,0,0,0,0,0,0,0
