id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.87852690179558,1.15151515151515,0,0,0,0,0,0,0,0
1,3,1.38806869206014,1.1875,0,0,0,0,0,0,0,0
1,4,0.465989193559078,1.65217391304348,0,0,0,0,0,0,0,0
1,5,3.16198118273971,1.10526315789473,0,0,0,0,0,0,0,0
1,6,4.05164342743927,1.05555555555556,0,0,0,0,0,0,0,0
1,7,5.1321187300451,1,0,0,0,0,0,0,0,0
1,8,6.01572014715519,1.36842105263158,0,0,0,0,0,0,0,0
1,9,9.87722583062448,1.3103448275862,0,0,0,0,0,0,0,0
1,10,9.11304868032646,1.10526315789474,0,0,0,0,0,0,0,0
1,11,12.5838737687151,1.05263157894737,0,0,0,0,0,0,0,0
2,3,0.57440476007983,1.03125,0,0,0,0,0,0,0,0
2,4,2.13159241518865,1.43478260869565,0,0,0,0,0,0,0,0
2,5,1.59471348872176,1.27272727272727,0,0,0,0,0,0,0,0
2,6,2.4144248994415,1.09090909090909,0,0,0,0,0,0,0,0
2,7,3.62180024524614,1.15151515151516,0,0,0,0,0,0,0,0
2,8,4.84295943152153,1.57575757575758,0,0,0,0,0,0,0,0
2,9,8.5430293617884,1.13793103448275,0,0,0,0,0,0,0,0
2,10,7.94275071300169,1.27272727272728,0,0,0,0,0,0,0,0
2,11,11.6191034678621,1.21212121212121,0,0,0,0,0,0,0,0
3,4,1.56965016895248,1.39130434782609,0,0,0,0,0,0,0,0
3,5,2.11022935549614,1.3125,0,0,0,0,0,0,0,0
3,6,2.98235874230786,1.125,0,0,0,0,0,0,0,0
3,7,4.18405622937983,1.1875,0,0,0,0,0,0,0,0
3,8,5.34438958160799,1.625,0,0,0,0,0,0,0,0
3,9,9.29428683678061,1.10344827586207,0,0,0,0,0,0,0,0
3,10,8.54669637883345,1.3125,0,0,0,0,0,0,0,0
3,11,12.2903404808737,1.25,0,0,0,0,0,0,0,0
4,5,3.66308952280327,1.82608695652173,0,0,0,0,0,0,0,0
4,6,4.83645188928146,1.56521739130434,0,0,0,0,0,0,0,0
4,7,6.16681132723496,1.65217391304348,0,0,0,0,0,0,0,0
4,8,6.94831714238139,2.26086956521739,0,0,0,0,0,0,0,0
4,9,12.3668799191595,1.2608695652174,0,0,0,0,0,0,0,0
4,10,10.9633169947159,1.82608695652174,0,0,0,0,0,0,0,0
4,11,15.3186774744637,1.73913043478261,0,0,0,0,0,0,0,0
5,6,0.606370953353103,1.16666666666667,0,0,0,0,0,0,0,0
5,7,1.72807696587855,1.10526315789473,0,0,0,0,0,0,0,0
5,8,3.182718444245,1.23809523809524,0,0,0,0,0,0,0,0
5,9,5.81055480256989,1.44827586206896,0,0,0,0,0,0,0,0
5,10,5.67027946057316,1,0,0,0,0,0,0,0,0
5,11,8.88716531392735,1.05,0,0,0,0,0,0,0,0
6,7,1.22913558560531,1.05555555555556,0,0,0,0,0,0,0,0
6,8,2.95290601367871,1.44444444444445,0,0,0,0,0,0,0,0
6,9,5.67344066630496,1.24137931034482,0,0,0,0,0,0,0,0
6,10,5.51335715933024,1.16666666666667,0,0,0,0,0,0,0,0
6,11,8.97835192694629,1.11111111111112,0,0,0,0,0,0,0,0
7,8,2.17806120604632,1.36842105263158,0,0,0,0,0,0,0,0
7,9,4.30950603679024,1.31034482758621,0,0,0,0,0,0,0,0
7,10,4.28027817437137,1.10526315789473,0,0,0,0,0,0,0,0
7,11,7.61539540705442,1.05263157894737,0,0,0,0,0,0,0,0
8,9,1.59756139417848,1.79310344827586,0,0,0,0,0,0,0,0
8,10,2.33425201255688,1.23809523809524,0,0,0,0,0,0,0,0
8,11,5.00029535989629,1.3,0,0,0,0,0,0,0,0
9,10,1.37495378725248,1.44827586206896,0,0,0,0,0,0,0,0
9,11,4.79204164172101,1.37931034482758,0,0,0,0,0,0,0,0
10,11,3.07935884918763,1.05,0,0,0,0,0,0,0,0
