id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.58326573165014,1.07936507936508,0,0,0,0,0,0,0,0
1,3,2.37727327471123,1.13333333333333,0,0,0,0,0,0,0,0
1,4,3.18328848265097,1.07936507936508,0,0,0,0,0,0,0,0
1,5,3.68999576502042,1.11475409836066,0,0,0,0,0,0,0,0
1,6,6.80998932681836,1.4468085106383,0,0,0,0,0,0,0,0
2,3,0.848688591106576,1.05,0,0,0,0,0,0,0,0
2,4,1.6685552413991,1,0,0,0,0,0,0,0,0
2,5,2.17085330187754,1.0327868852459,0,0,0,0,0,0,0,0
2,6,5.35052326165897,1.34042553191489,0,0,0,0,0,0,0,0
3,4,0.960485754118937,1.05,0,0,0,0,0,0,0,0
3,5,1.45252489260002,1.01666666666667,0,0,0,0,0,0,0,0
3,6,4.93352615493477,1.27659574468085,0,0,0,0,0,0,0,0
4,5,0.475806451612903,1.0327868852459,0,0,0,0,0,0,0,0
4,6,3.81254995902777,1.34042553191489,0,0,0,0,0,0,0,0
5,6,3.49295047457485,1.29787234042553,0,0,0,0,0,0,0,0
