id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.90192705268653,1.42592592592592,0,0,0,0,0,0,0,0
1,3,1.6333470471615,1.24193548387097,0,0,0,0,0,0,0,0
1,4,2.71065010042649,1.4,0,0,0,0,0,0,0,0
1,5,3.50521077440504,1.54000000000001,0,0,0,0,0,0,0,0
1,6,4.25727048706093,1.60416666666667,0,0,0,0,0,0,0,0
2,3,0.939813336894363,1.14814814814815,0,0,0,0,0,0,0,0
2,4,2.20986684868838,1.01851851851852,0,0,0,0,0,0,0,0
2,5,3.14476001191576,1.08000000000001,0,0,0,0,0,0,0,0
2,6,4.0630956961299,1.125,0,0,0,0,0,0,0,0
3,4,1.13659146734217,1.12727272727273,0,0,0,0,0,0,0,0
3,5,1.94773874646725,1.24000000000001,0,0,0,0,0,0,0,0
3,6,2.77703093725048,1.29166666666667,0,0,0,0,0,0,0,0
4,5,0.905513472305122,1.10000000000001,0,0,0,0,0,0,0,0
4,6,1.70238226677284,1.14583333333334,0,0,0,0,0,0,0,0
5,6,0.923680774092523,1.04166666666667,0,0,0,0,0,0,0,0
