id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.50700756474814,1.21428571428572,0,0,0,0,0,0,0,0
1,3,4.66197345979064,1,0,0,0,0,0,0,0,0
1,4,6.05249227359222,1.09677419354839,0,0,0,0,0,0,0,0
1,5,6.60072638782133,1.70588235294118,0,0,0,0,0,0,0,0
1,6,8.14951007501738,1.58823529411765,0,0,0,0,0,0,0,0
2,3,3.6180838433058,1.21428571428572,0,0,0,0,0,0,0,0
2,4,5.10529744981963,1.10714285714286,0,0,0,0,0,0,0,0
2,5,5.98498436575249,2.07142857142858,0,0,0,0,0,0,0,0
2,6,7.61538253537035,1.92857142857144,0,0,0,0,0,0,0,0
3,4,1.19178648657626,1.09677419354839,0,0,0,0,0,0,0,0
3,5,3.15638773820252,1.70588235294118,0,0,0,0,0,0,0,0
3,6,4.5474995399797,1.58823529411765,0,0,0,0,0,0,0,0
4,5,2.40449438202247,1.87096774193549,0,0,0,0,0,0,0,0
4,6,3.81192810107311,1.74193548387098,0,0,0,0,0,0,0,0
5,6,0.982508048988163,1.07407407407407,0,0,0,0,0,0,0,0
