id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.07857396561755,1.17948717948718,0,0,0,0,0,0,0,0
1,3,1.79385095104579,1.04545454545455,0,0,0,0,0,0,0,0
1,4,2.92939686439765,1.06976744186046,0,0,0,0,0,0,0,0
1,5,3.97735613406676,1.15,0,0,0,0,0,0,0,0
1,6,5.4503263506221,1.15,0,0,0,0,0,0,0,0
2,3,0.857540224061409,1.12820512820513,0,0,0,0,0,0,0,0
2,4,2.13891453398685,1.1025641025641,0,0,0,0,0,0,0,0
2,5,3.30340945391108,1.02564102564102,0,0,0,0,0,0,0,0
2,6,4.93367319843641,1.02564102564102,0,0,0,0,0,0,0,0
3,4,1.22380061188103,1.02325581395349,0,0,0,0,0,0,0,0
3,5,2.30979993440156,1.1,0,0,0,0,0,0,0,0
3,6,3.84641733355274,1.1,0,0,0,0,0,0,0,0
4,5,1.06359000086522,1.075,0,0,0,0,0,0,0,0
4,6,2.61456887221859,1.07500000000001,0,0,0,0,0,0,0,0
5,6,1.61371078573579,1,0,0,0,0,0,0,0,0
