id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.680820143689161,1.09090909090909,0,0,0,0,0,0,0,0
1,3,1.71569444845262,1.01851851851852,0,0,0,0,0,0,0,0
1,4,3.31268534304492,1.05769230769231,0,0,0,0,0,0,0,0
1,5,5.00223550339683,1.05769230769231,0,0,0,0,0,0,0,0
2,3,1.06285242557339,1.11111111111111,0,0,0,0,0,0,0,0
2,4,2.53033256868802,1.15384615384616,0,0,0,0,0,0,0,0
2,5,4.16589384839825,1.15384615384615,0,0,0,0,0,0,0,0
3,4,1.58672963328864,1.03846153846154,0,0,0,0,0,0,0,0
3,5,3.28567448439019,1.03846153846153,0,0,0,0,0,0,0,0
4,5,1.77082390646058,1.00000000000001,0,0,0,0,0,0,0,0
