id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.701779536940586,1.33333333333333,0,0,0,0,0,0,0,0
1,3,1.22073492692506,1.09090909090909,0,0,0,0,0,0,0,0
1,4,3.68654544037512,1.04545454545455,0,0,0,0,0,0,0,0
1,5,4.83420042552118,1.29411764705883,0,0,0,0,0,0,0,0
1,6,5.73788592231418,1.18918918918919,0,0,0,0,0,0,0,0
1,7,5.88105203491225,1.11363636363636,0,0,0,0,0,0,0,0
1,8,8.3559365663148,1.37499999999999,0,0,0,0,0,0,0,0
1,9,8.5377562187029,1.22222222222222,0,0,0,0,0,0,0,0
1,10,10.3963221946783,1.62962962962961,0,0,0,0,0,0,0,0
2,3,0.841772539937322,1.45454545454545,0,0,0,0,0,0,0,0
2,4,3.7228964986969,1.39393939393939,0,0,0,0,0,0,0,0
2,5,5.07541697097604,1.03030303030303,0,0,0,0,0,0,0,0
2,6,5.93766943904314,1.12121212121212,0,0,0,0,0,0,0,0
2,7,6.23189823582301,1.48484848484848,0,0,0,0,0,0,0,0
2,8,9.21642475188184,1.03125,0,0,0,0,0,0,0,0
2,9,9.35932334185273,1.09090909090909,0,0,0,0,0,0,0,0
2,10,11.6913667103361,1.22222222222221,0,0,0,0,0,0,0,0
3,4,2.40446713433362,1.04347826086957,0,0,0,0,0,0,0,0
3,5,3.31709558815955,1.41176470588236,0,0,0,0,0,0,0,0
3,6,4.14914007015903,1.2972972972973,0,0,0,0,0,0,0,0
3,7,4.56702194501788,1.02083333333333,0,0,0,0,0,0,0,0
3,8,6.63768832124557,1.49999999999999,0,0,0,0,0,0,0,0
3,9,6.87656393261012,1.33333333333333,0,0,0,0,0,0,0,0
3,10,8.44464327251303,1.77777777777776,0,0,0,0,0,0,0,0
4,5,0.575543221661066,1.35294117647059,0,0,0,0,0,0,0,0
4,6,2.24685066927764,1.24324324324324,0,0,0,0,0,0,0,0
4,7,2.28459856029839,1.06521739130434,0,0,0,0,0,0,0,0
4,8,3.91027742743405,1.43749999999999,0,0,0,0,0,0,0,0
4,9,4.29048239052056,1.27777777777778,0,0,0,0,0,0,0,0
4,10,5.58079232815067,1.70370370370369,0,0,0,0,0,0,0,0
5,6,2.43666042463759,1.08823529411765,0,0,0,0,0,0,0,0
5,7,2.06038187357202,1.44117647058823,0,0,0,0,0,0,0,0
5,8,3.92450566567645,1.06249999999999,0,0,0,0,0,0,0,0
5,9,4.37294558178175,1.05882352941177,0,0,0,0,0,0,0,0
5,10,5.92710806811057,1.25925925925924,0,0,0,0,0,0,0,0
6,7,2.52614773726347,1.32432432432432,0,0,0,0,0,0,0,0
6,8,4.01739548695852,1.15625,0,0,0,0,0,0,0,0
6,9,4.16116043257387,1.02777777777778,0,0,0,0,0,0,0,0
6,10,5.57216943978059,1.37037037037036,0,0,0,0,0,0,0,0
7,8,1.0881719876257,1.53124999999999,0,0,0,0,0,0,0,0
7,9,1.61051905493154,1.36111111111111,0,0,0,0,0,0,0,0
7,10,2.51670320336952,1.81481481481479,0,0,0,0,0,0,0,0
8,9,0.756317110036692,1.12499999999999,0,0,0,0,0,0,0,0
8,10,1.75266039008592,1.18518518518518,0,0,0,0,0,0,0,0
9,10,0.893976370814519,1.33333333333332,0,0,0,0,0,0,0,0
