id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.49705825937158,2.42105263157894,0,0,0,0,0,0,0,0
1,3,2.20223829673925,2.55555555555556,0,0,0,0,0,0,0,0
1,4,2.58767259309845,3.06666666666668,0,0,0,0,0,0,0,0
1,5,3.0854592544991,2,0,0,0,0,0,0,0,0
1,6,4.4619977395921,2.55555555555556,0,0,0,0,0,0,0,0
1,7,5.88051775916281,3.06666666666669,0,0,0,0,0,0,0,0
1,8,6.65939686269254,2.3,0,0,0,0,0,0,0,0
1,9,7.60775062716584,2.3,0,0,0,0,0,0,0,0
1,10,8.89375494114408,2.55555555555554,0,0,0,0,0,0,0,0
1,11,10.2727306049969,2.42105263157897,0,0,0,0,0,0,0,0
1,12,11.2576075527019,2.42105263157894,0,0,0,0,0,0,0,0
1,13,12.2670772852015,2.0909090909091,0,0,0,0,0,0,0,0
1,14,13.7481612427769,2.30000000000003,0,0,0,0,0,0,0,0
2,3,1.24324324324324,1.05555555555556,0,0,0,0,0,0,0,0
2,4,1.78056598443121,1.26666666666667,0,0,0,0,0,0,0,0
2,5,2.85753965498618,1.21052631578947,0,0,0,0,0,0,0,0
2,6,5.19369174030889,1.05555555555556,0,0,0,0,0,0,0,0
2,7,7.85316148622451,1.26666666666668,0,0,0,0,0,0,0,0
2,8,8.901129802928,1.05263157894737,0,0,0,0,0,0,0,0
2,9,10.5153530407994,1.05263157894737,0,0,0,0,0,0,0,0
2,10,12.8966788098457,1.05555555555555,0,0,0,0,0,0,0,0
2,11,15.1606585565086,1.00000000000001,0,0,0,0,0,0,0,0
2,12,16.8687494836242,1,0,0,0,0,0,0,0,0
2,13,18.1227554560079,1.1578947368421,0,0,0,0,0,0,0,0
2,14,20.9257319833766,1.05263157894735,0,0,0,0,0,0,0,0
3,4,0.759996133574818,1.2,0,0,0,0,0,0,0,0
3,5,1.80553712422651,1.27777777777778,0,0,0,0,0,0,0,0
3,6,4.06163927254095,1,0,0,0,0,0,0,0,0
3,7,6.69724392692344,1.20000000000001,0,0,0,0,0,0,0,0
3,8,7.92542281962333,1.11111111111111,0,0,0,0,0,0,0,0
3,9,9.58187491411812,1.11111111111111,0,0,0,0,0,0,0,0
3,10,11.9776669753687,1.00000000000001,0,0,0,0,0,0,0,0
3,11,14.3274091527887,1.05555555555555,0,0,0,0,0,0,0,0
3,12,16.0814444655741,1.05555555555556,0,0,0,0,0,0,0,0
3,13,17.4258787439831,1.22222222222222,0,0,0,0,0,0,0,0
3,14,20.2660455905468,1.1111111111111,0,0,0,0,0,0,0,0
4,5,1.80814561961073,1.53333333333334,0,0,0,0,0,0,0,0
4,6,4.14620319307601,1.2,0,0,0,0,0,0,0,0
4,7,7.0825293661391,1,0,0,0,0,0,0,0,0
4,8,8.32257809350258,1.33333333333334,0,0,0,0,0,0,0,0
4,9,10.1221922284752,1.33333333333334,0,0,0,0,0,0,0,0
4,10,12.7611741848013,1.20000000000001,0,0,0,0,0,0,0,0
4,11,15.2981895032101,1.26666666666666,0,0,0,0,0,0,0,0
4,12,17.2241983958796,1.26666666666667,0,0,0,0,0,0,0,0
4,13,18.5726024882031,1.46666666666667,0,0,0,0,0,0,0,0
4,14,21.7161653321829,1.33333333333332,0,0,0,0,0,0,0,0
5,6,1.77295432637915,1.27777777777778,0,0,0,0,0,0,0,0
5,7,3.86842105263159,1.53333333333335,0,0,0,0,0,0,0,0
5,8,5.28644091470042,1.15,0,0,0,0,0,0,0,0
5,9,6.74903594661944,1.15,0,0,0,0,0,0,0,0
5,10,8.71499968515173,1.27777777777777,0,0,0,0,0,0,0,0
5,11,10.8615540328754,1.21052631578949,0,0,0,0,0,0,0,0
5,12,12.4048533037488,1.21052631578947,0,0,0,0,0,0,0,0
5,13,13.8458889918744,1.04545454545455,0,0,0,0,0,0,0,0
5,14,16.1898050968867,1.15000000000001,0,0,0,0,0,0,0,0
6,7,2.29284029551843,1.20000000000001,0,0,0,0,0,0,0,0
6,8,4.07928691286253,1.11111111111111,0,0,0,0,0,0,0,0
6,9,5.73690246226096,1.11111111111111,0,0,0,0,0,0,0,0
6,10,7.91788489652178,1.00000000000001,0,0,0,0,0,0,0,0
6,11,10.3786950965187,1.05555555555555,0,0,0,0,0,0,0,0
6,12,12.1394683168308,1.05555555555556,0,0,0,0,0,0,0,0
6,13,13.7750226860068,1.22222222222222,0,0,0,0,0,0,0,0
6,14,16.421579782362,1.1111111111111,0,0,0,0,0,0,0,0
7,8,2.31128553327506,1.33333333333334,0,0,0,0,0,0,0,0
7,9,4.09778436898453,1.33333333333334,0,0,0,0,0,0,0,0
7,10,6.37984947619009,1.20000000000001,0,0,0,0,0,0,0,0
7,11,9.09627476128955,1.26666666666666,0,0,0,0,0,0,0,0
7,12,11.0001572810398,1.26666666666668,0,0,0,0,0,0,0,0
7,13,12.8671642278561,1.46666666666667,0,0,0,0,0,0,0,0
7,14,15.6915679943865,1.33333333333333,0,0,0,0,0,0,0,0
8,9,1.57519840020233,1,0,0,0,0,0,0,0,0
8,10,3.42196344150749,1.11111111111111,0,0,0,0,0,0,0,0
8,11,5.87185085630014,1.05263157894738,0,0,0,0,0,0,0,0
