id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.552788198357895,1.23529411764706,0,0,0,0,0,0,0,0
1,3,3.08069320653233,1.04761904761905,0,0,0,0,0,0,0,0
1,4,4.17997873466148,1.14285714285714,0,0,0,0,0,0,0,0
1,5,5.76001356852781,1.16666666666666,0,0,0,0,0,0,0,0
1,6,7.02696660282289,1,0,0,0,0,0,0,0,0
1,7,6.66541922825711,1.35714285714285,0,0,0,0,0,0,0,0
1,8,10.1385713610943,1.23809523809524,0,0,0,0,0,0,0,0
1,9,11.8478920693769,1.0952380952381,0,0,0,0,0,0,0,0
2,3,2.86474638678854,1.29411764705882,0,0,0,0,0,0,0,0
2,4,4.07853451419284,1.41176470588235,0,0,0,0,0,0,0,0
2,5,5.80967803177784,1.44117647058823,0,0,0,0,0,0,0,0
2,6,7.21583074194503,1.23529411764705,0,0,0,0,0,0,0,0
2,7,6.79111988277091,1.67647058823529,0,0,0,0,0,0,0,0
2,8,10.5932530034055,1.52941176470588,0,0,0,0,0,0,0,0
2,9,12.5078100601184,1.35294117647059,0,0,0,0,0,0,0,0
3,4,1.21758538825569,1.09090909090909,0,0,0,0,0,0,0,0
3,5,2.81387803305743,1.11363636363636,0,0,0,0,0,0,0,0
3,6,3.92279466831174,1.04761904761905,0,0,0,0,0,0,0,0
3,7,3.92084208388955,1.29545454545454,0,0,0,0,0,0,0,0
3,8,7.19897182328837,1.18181818181818,0,0,0,0,0,0,0,0
3,9,8.70209283753548,1.04545454545455,0,0,0,0,0,0,0,0
4,5,1.54604807177464,1.02083333333333,0,0,0,0,0,0,0,0
4,6,2.56779676900521,1.14285714285714,0,0,0,0,0,0,0,0
4,7,2.70503016778312,1.1875,0,0,0,0,0,0,0,0
4,8,5.79183045331957,1.08333333333334,0,0,0,0,0,0,0,0
4,9,7.14668784300784,1.04347826086956,0,0,0,0,0,0,0,0
5,6,1.07636226707568,1.16666666666667,0,0,0,0,0,0,0,0
5,7,1.28890160793234,1.16326530612245,0,0,0,0,0,0,0,0
5,8,4.25213809334389,1.06122448979592,0,0,0,0,0,0,0,0
5,9,5.49318389024777,1.06521739130435,0,0,0,0,0,0,0,0
6,7,1.21212121212121,1.35714285714286,0,0,0,0,0,0,0,0
6,8,3.93733450290641,1.23809523809524,0,0,0,0,0,0,0,0
6,9,5.15929114549344,1.0952380952381,0,0,0,0,0,0,0,0
7,8,2.72334933430637,1.09615384615384,0,0,0,0,0,0,0,0
7,9,3.81478042905935,1.23913043478261,0,0,0,0,0,0,0,0
8,9,1.03786095019356,1.1304347826087,0,0,0,0,0,0,0,0
