id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.03508771929824,1.11111111111111,0,0,0,0,0,0,0,0
1,3,1.71375157022377,1,0,0,0,0,0,0,0,0
1,4,3.53011975469767,1.42857142857143,0,0,0,0,0,0,0,0
1,5,4.05699620667693,1.11111111111111,0,0,0,0,0,0,0,0
1,6,5.49298139884555,1.57894736842105,0,0,0,0,0,0,0,0
1,7,6.9065882457372,1.30434782608696,0,0,0,0,0,0,0,0
1,8,8.0876397889231,1.2,0,0,0,0,0,0,0,0
1,9,8.125,1.15384615384616,0,0,0,0,0,0,0,0
1,10,10.7172468741967,1.30434782608697,0,0,0,0,0,0,0,0
1,11,12.0365833542154,1.20000000000001,0,0,0,0,0,0,0,0
1,12,12.6666788161481,1.11111111111111,0,0,0,0,0,0,0,0
1,13,13.2884058256853,1.03448275862069,0,0,0,0,0,0,0,0
1,14,17.5863632078755,1.30434782608695,0,0,0,0,0,0,0,0
1,15,19.5763164909167,1.25,0,0,0,0,0,0,0,0
1,16,18.5428686451866,1.03448275862069,0,0,0,0,0,0,0,0
2,3,0.7881079805339,1.11111111111111,0,0,0,0,0,0,0,0
2,4,2.54217891013026,1.28571428571429,0,0,0,0,0,0,0,0
2,5,3.19770365136847,1,0,0,0,0,0,0,0,0
2,6,4.58175060029755,1.42105263157895,0,0,0,0,0,0,0,0
2,7,6.14117252648059,1.17391304347827,0,0,0,0,0,0,0,0
2,8,7.4220306157775,1.08,0,0,0,0,0,0,0,0
2,9,7.47169811320754,1.03846153846154,0,0,0,0,0,0,0,0
2,10,10.1803143369937,1.17391304347827,0,0,0,0,0,0,0,0
2,11,11.5964089779307,1.08000000000001,0,0,0,0,0,0,0,0
2,12,12.2777917434701,1,0,0,0,0,0,0,0,0
2,13,12.9467364495412,1.07407407407407,0,0,0,0,0,0,0,0
2,14,17.4616494066282,1.17391304347826,0,0,0,0,0,0,0,0
2,15,19.5711421229948,1.125,0,0,0,0,0,0,0,0
2,16,18.4826949537967,1.07407407407407,0,0,0,0,0,0,0,0
3,4,1.51526894794993,1.42857142857143,0,0,0,0,0,0,0,0
3,5,2.25389099624647,1.11111111111111,0,0,0,0,0,0,0,0
3,6,3.39451010831733,1.57894736842105,0,0,0,0,0,0,0,0
3,7,4.99401564266984,1.30434782608696,0,0,0,0,0,0,0,0
3,8,6.260567925021,1.2,0,0,0,0,0,0,0,0
3,9,6.30784456539827,1.15384615384616,0,0,0,0,0,0,0,0
3,10,8.79830156107183,1.30434782608697,0,0,0,0,0,0,0,0
3,11,10.1865086598739,1.20000000000001,0,0,0,0,0,0,0,0
3,12,10.8799656907467,1.11111111111111,0,0,0,0,0,0,0,0
3,13,11.5601172746979,1.03448275862069,0,0,0,0,0,0,0,0
3,14,15.6674796352294,1.30434782608695,0,0,0,0,0,0,0,0
3,15,17.6933372717937,1.25,0,0,0,0,0,0,0,0
3,16,16.8173263275993,1.03448275862069,0,0,0,0,0,0,0,0
4,5,1.08513472025878,1.28571428571429,0,0,0,0,0,0,0,0
4,6,2.23187141206656,1.10526315789473,0,0,0,0,0,0,0,0
4,7,4.33805236795356,1.09523809523809,0,0,0,0,0,0,0,0
4,8,5.90056227495996,1.19047619047619,0,0,0,0,0,0,0,0
4,9,5.9215483764204,1.23809523809524,0,0,0,0,0,0,0,0
4,10,8.89159343899046,1.09523809523809,0,0,0,0,0,0,0,0
4,11,10.5432989675477,1.19047619047618,0,0,0,0,0,0,0,0
4,12,11.3483356586868,1.28571428571428,0,0,0,0,0,0,0,0
4,13,12.1279841688551,1.38095238095238,0,0,0,0,0,0,0,0
4,14,17.1592715222282,1.0952380952381,0,0,0,0,0,0,0,0
4,15,19.5566918861771,1.14285714285714,0,0,0,0,0,0,0,0
4,16,18.3333684848148,1.38095238095238,0,0,0,0,0,0,0,0
5,6,0.833207299858119,1.42105263157895,0,0,0,0,0,0,0,0
5,7,2.78539045736859,1.17391304347827,0,0,0,0,0,0,0,0
5,8,4.23063810985625,1.08,0,0,0,0,0,0,0,0
