id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.647355843890948,1.68421052631579,0,0,0,0,0,0,0,0
1,3,6.99026514140834,1.57894736842106,0,0,0,0,0,0,0,0
1,4,8.87385066892858,1.52631578947369,0,0,0,0,0,0,0,0
1,5,9.50513421949488,1.94736842105263,0,0,0,0,0,0,0,0
1,6,13.779907499488,1.52631578947368,0,0,0,0,0,0,0,0
1,7,15.2054858521522,1.63157894736842,0,0,0,0,0,0,0,0
1,8,16.4249796231625,1.73684210526316,0,0,0,0,0,0,0,0
1,9,19.9050900659708,1.68421052631579,0,0,0,0,0,0,0,0
1,10,24.1806764466571,1.68421052631578,0,0,0,0,0,0,0,0
1,11,22.2918473418959,2.10526315789474,0,0,0,0,0,0,0,0
1,12,23.7328146739266,1.94736842105262,0,0,0,0,0,0,0,0
1,13,35.5348342397211,1.72727272727274,0,0,0,0,0,0,0,0
1,14,32.8440397305486,1.35714285714285,0,0,0,0,0,0,0,0
1,15,33.4380256968022,1.46153846153847,0,0,0,0,0,0,0,0
2,3,4.99583593515108,1.06666666666667,0,0,0,0,0,0,0,0
2,4,6.44370741300394,1.10344827586206,0,0,0,0,0,0,0,0
2,5,7.23622477264924,1.15625,0,0,0,0,0,0,0,0
2,6,10.3019842164518,1.10344827586207,0,0,0,0,0,0,0,0
2,7,11.5440047799403,1.03225806451613,0,0,0,0,0,0,0,0
2,8,12.6321183576304,1.03125,0,0,0,0,0,0,0,0
2,9,15.346621739918,1,0,0,0,0,0,0,0,0
2,10,18.753749625075,1,0,0,0,0,0,0,0,0
2,11,17.8084208562989,1.25,0,0,0,0,0,0,0,0
2,12,18.7832852356239,1.15624999999999,0,0,0,0,0,0,0,0
2,13,24.0243476642399,2.90909090909093,0,0,0,0,0,0,0,0
2,14,22.8443405275768,2.28571428571428,0,0,0,0,0,0,0,0
2,15,23.0447123095972,2.46153846153848,0,0,0,0,0,0,0,0
3,4,1.42382969779779,1.03448275862069,0,0,0,0,0,0,0,0
3,5,2.871263201531,1.23333333333333,0,0,0,0,0,0,0,0
3,6,5.47405150447085,1.03448275862069,0,0,0,0,0,0,0,0
3,7,6.88573378443193,1.03333333333333,0,0,0,0,0,0,0,0
3,8,8.19455109658102,1.1,0,0,0,0,0,0,0,0
3,9,10.9566476146261,1.06666666666667,0,0,0,0,0,0,0,0
3,10,14.4660426232588,1.06666666666666,0,0,0,0,0,0,0,0
3,11,13.9474304560564,1.33333333333333,0,0,0,0,0,0,0,0
3,12,14.8023361573087,1.23333333333332,0,0,0,0,0,0,0,0
3,13,17.6877873891725,2.72727272727275,0,0,0,0,0,0,0,0
3,14,16.9096407535235,2.14285714285714,0,0,0,0,0,0,0,0
3,15,17.0293863659264,2.30769230769232,0,0,0,0,0,0,0,0
4,5,1.64817566173559,1.27586206896551,0,0,0,0,0,0,0,0
4,6,4.12786131079873,1.00000000000001,0,0,0,0,0,0,0,0
4,7,5.60089278597617,1.06896551724137,0,0,0,0,0,0,0,0
4,8,6.97718147924939,1.13793103448275,0,0,0,0,0,0,0,0
4,9,9.76873127498773,1.10344827586207,0,0,0,0,0,0,0,0
4,10,13.3325057971269,1.10344827586206,0,0,0,0,0,0,0,0
4,11,12.9330267147408,1.37931034482758,0,0,0,0,0,0,0,0
4,12,13.7573421419225,1.2758620689655,0,0,0,0,0,0,0,0
4,13,16.0299914223308,2.63636363636367,0,0,0,0,0,0,0,0
4,14,15.3497004690291,2.07142857142858,0,0,0,0,0,0,0,0
4,15,15.4403430988867,2.23076923076925,0,0,0,0,0,0,0,0
5,6,1.97952095567533,1.27586206896552,0,0,0,0,0,0,0,0
5,7,3.35452104162206,1.19354838709677,0,0,0,0,0,0,0,0
5,8,4.62700590808672,1.12121212121212,0,0,0,0,0,0,0,0
5,9,7.05963733566173,1.15625,0,0,0,0,0,0,0,0
5,10,10.2110063306001,1.15625,0,0,0,0,0,0,0,0
5,11,10.183217833827,1.08108108108108,0,0,0,0,0,0,0,0
5,12,10.8024714457055,1,0,0,0,0,0,0,0,0
5,13,11.1205905743455,3.36363636363638,0,0,0,0,0,0,0,0
5,14,10.8241687790696,2.64285714285714,0,0,0,0,0,0,0,0
5,15,10.7978145937037,2.84615384615386,0,0,0,0,0,0,0,0
6,7,1.66699996667333,1.06896551724138,0,0,0,0,0,0,0,0
6,8,3.11795511845627,1.13793103448276,0,0,0,0,0,0,0,0
6,9,5.84398063377559,1.10344827586207,0,0,0,0,0,0,0,0
6,10,9.40865075072976,1.10344827586207,0,0,0,0,0,0,0,0
6,11,9.47826086956522,1.37931034482759,0,0,0,0,0,0,0,0
6,12,10.1343137846691,1.27586206896551,0,0,0,0,0,0,0,0
6,13,10.1295668712932,2.63636363636365,0,0,0,0,0,0,0,0
6,14,9.82389554823155,2.07142857142857,0,0,0,0,0,0,0,0
6,15,9.7475213431724,2.23076923076924,0,0,0,0,0,0,0,0
7,8,1.5614058669193,1.06451612903226,0,0,0,0,0,0,0,0
7,9,4.1809656385756,1.03225806451613,0,0,0,0,0,0,0,0
7,10,7.59860020791184,1.03225806451613,0,0,0,0,0,0,0,0
7,11,7.83605064711162,1.29032258064517,0,0,0,0,0,0,0,0
7,12,8.41988501511871,1.19354838709677,0,0,0,0,0,0,0,0
7,13,7.28077174399863,2.81818181818183,0,0,0,0,0,0,0,0
7,14,7.20003429347115,2.21428571428571,0,0,0,0,0,0,0,0
7,15,7.12074869543023,2.38461538461539,0,0,0,0,0,0,0,0
8,9,2.52242017719012,1.03125,0,0,0,0,0,0,0,0
8,10,5.85701420389396,1.03125,0,0,0,0,0,0,0,0
8,11,6.31686599681897,1.21212121212122,0,0,0,0,0,0,0,0
8,12,6.79366451563666,1.12121212121212,0,0,0,0,0,0,0,0
8,13,4.92238309885577,3.00000000000002,0,0,0,0,0,0,0,0
8,14,4.9139724659492,2.35714285714285,0,0,0,0,0,0,0,0
8,15,4.6981173078357,2.53846153846155,0,0,0,0,0,0,0,0
9,10,3.40714581110422,1.00000000000001,0,0,0,0,0,0,0,0
9,11,4.20730185378811,1.25,0,0,0,0,0,0,0,0
9,12,4.55220136660096,1.15624999999999,0,0,0,0,0,0,0,0
9,13,2.26156064944532,2.90909090909093,0,0,0,0,0,0,0,0
9,14,1.98589068549726,2.28571428571429,0,0,0,0,0,0,0,0
