id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.11765772428578,1.13513513513514,0,0,0,0,0,0,0,0
1,3,4.34310359398955,1.37037037037037,0,0,0,0,0,0,0,0
1,4,4.5757716181262,1.21621621621621,0,0,0,0,0,0,0,0
1,5,6.91684731771703,1.19354838709678,0,0,0,0,0,0,0,0
1,6,10.0330158461502,1.1081081081081,0,0,0,0,0,0,0,0
1,7,11.2198240190774,1.10810810810811,0,0,0,0,0,0,0,0
2,3,2.7493865195684,1.55555555555556,0,0,0,0,0,0,0,0
2,4,3.30421287114594,1.07142857142857,0,0,0,0,0,0,0,0
2,5,5.24242476833761,1.35483870967743,0,0,0,0,0,0,0,0
2,6,8.38640765510042,1.02439024390245,0,0,0,0,0,0,0,0
2,7,9.506146257251,1.02439024390244,0,0,0,0,0,0,0,0
3,4,1.45998583622421,1.66666666666666,0,0,0,0,0,0,0,0
3,5,3.42231607608263,1.14814814814814,0,0,0,0,0,0,0,0
3,6,7.56701604556978,1.5185185185185,0,0,0,0,0,0,0,0
3,7,8.94707622692355,1.51851851851852,0,0,0,0,0,0,0,0
4,5,1.25338875832736,1.45161290322581,0,0,0,0,0,0,0,0
4,6,4.77255823019201,1.09756097560976,0,0,0,0,0,0,0,0
4,7,5.86141096095625,1.09756097560975,0,0,0,0,0,0,0,0
5,6,4.38987770155025,1.32258064516129,0,0,0,0,0,0,0,0
5,7,5.69383465569733,1.3225806451613,0,0,0,0,0,0,0,0
6,7,1.14692512385869,1.00000000000001,0,0,0,0,0,0,0,0
