id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.49907378811793,1,0,0,0,0,0,0,0,0
1,3,2.7254521945448,1.36666666666667,0,0,0,0,0,0,0,0
1,4,3.8149544625094,1.33333333333334,0,0,0,0,0,0,0,0
1,5,5.10356927661787,1.36666666666667,0,0,0,0,0,0,0,0
1,6,8.86355654671517,1.11111111111111,0,0,0,0,0,0,0,0
1,7,10.4108017515795,1.3,0,0,0,0,0,0,0,0
1,8,11.3579533568248,1.46666666666667,0,0,0,0,0,0,0,0
1,9,11.8086305615516,1.20000000000001,0,0,0,0,0,0,0,0
1,10,13.9085309013537,1.26666666666666,0,0,0,0,0,0,0,0
2,3,1.46485644480547,1.36666666666667,0,0,0,0,0,0,0,0
2,4,2.5454240655477,1.33333333333334,0,0,0,0,0,0,0,0
2,5,3.84530257773075,1.36666666666667,0,0,0,0,0,0,0,0
2,6,7.29832995902678,1.11111111111111,0,0,0,0,0,0,0,0
2,7,9.11032983161599,1.3,0,0,0,0,0,0,0,0
2,8,10.1474609734382,1.46666666666667,0,0,0,0,0,0,0,0
2,9,10.4558738725625,1.20000000000001,0,0,0,0,0,0,0,0
2,10,12.590932228968,1.26666666666666,0,0,0,0,0,0,0,0
3,4,0.920312200594462,1.025,0,0,0,0,0,0,0,0
3,5,2.06111992567321,1,0,0,0,0,0,0,0,0
3,6,4.58825886117627,1.51851851851851,0,0,0,0,0,0,0,0
3,7,6.56059496158695,1.05128205128206,0,0,0,0,0,0,0,0
3,8,7.61179198104031,1.07317073170732,0,0,0,0,0,0,0,0
3,9,7.61149763663882,1.13888888888889,0,0,0,0,0,0,0,0
3,10,9.52263093477244,1.07894736842106,0,0,0,0,0,0,0,0
4,5,1.1806755768894,1.025,0,0,0,0,0,0,0,0
4,6,3.55537300588279,1.48148148148148,0,0,0,0,0,0,0,0
4,7,5.72300305610012,1.02564102564103,0,0,0,0,0,0,0,0
4,8,6.8305639817214,1.1,0,0,0,0,0,0,0,0
4,9,6.74147918125141,1.11111111111111,0,0,0,0,0,0,0,0
4,10,8.70604390788203,1.05263157894738,0,0,0,0,0,0,0,0
5,6,2.10299259501104,1.51851851851851,0,0,0,0,0,0,0,0
5,7,4.45603523325389,1.05128205128206,0,0,0,0,0,0,0,0
5,8,5.62600240972102,1.07317073170732,0,0,0,0,0,0,0,0
5,9,5.41658092921406,1.13888888888889,0,0,0,0,0,0,0,0
5,10,7.38624678465675,1.07894736842106,0,0,0,0,0,0,0,0
6,7,3.26268098900219,1.44444444444443,0,0,0,0,0,0,0,0
6,8,4.72998345697668,1.62962962962963,0,0,0,0,0,0,0,0
6,9,4.35155191066842,1.33333333333333,0,0,0,0,0,0,0,0
6,10,6.78616762288682,1.40740740740739,0,0,0,0,0,0,0,0
7,8,1.48505889206612,1.12820512820513,0,0,0,0,0,0,0,0
7,9,0.954521404218427,1.08333333333332,0,0,0,0,0,0,0,0
7,10,2.96103896103898,1.02631578947369,0,0,0,0,0,0,0,0
8,9,0.817389136213588,1.22222222222222,0,0,0,0,0,0,0,0
8,10,1.28419903535368,1.15789473684212,0,0,0,0,0,0,0,0
9,10,2.27657586355636,1.05555555555554,0,0,0,0,0,0,0,0
