id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.7858588837724,1.29032258064516,0,0,0,0,0,0,0,0
1,3,3.16743987889979,1.23076923076923,0,0,0,0,0,0,0,0
1,4,4.12845508148623,1.9047619047619,0,0,0,0,0,0,0,0
1,5,4.45483316203434,1.81818181818181,0,0,0,0,0,0,0,0
1,6,4.70734515626935,1.86046511627907,0,0,0,0,0,0,0,0
1,7,5.08938029661605,1.70212765957447,0,0,0,0,0,0,0,0
1,8,6.09726286534141,1.86046511627907,0,0,0,0,0,0,0,0
1,9,7.98368912302462,1.73913043478261,0,0,0,0,0,0,0,0
2,3,0.769078138398412,1.0483870967742,0,0,0,0,0,0,0,0
2,4,1.23855709139266,1.47619047619047,0,0,0,0,0,0,0,0
2,5,1.65957313284714,1.4090909090909,0,0,0,0,0,0,0,0
2,6,1.99591419389406,1.44186046511627,0,0,0,0,0,0,0,0
2,7,2.77878686232442,1.31914893617021,0,0,0,0,0,0,0,0
2,8,3.73937800252997,1.44186046511627,0,0,0,0,0,0,0,0
2,9,5.96158254092975,1.34782608695652,0,0,0,0,0,0,0,0
3,4,0.421701464399193,1.54761904761905,0,0,0,0,0,0,0,0
3,5,0.854443225825688,1.47727272727273,0,0,0,0,0,0,0,0
3,6,1.12354157867537,1.51162790697675,0,0,0,0,0,0,0,0
3,7,1.84985262099113,1.38297872340426,0,0,0,0,0,0,0,0
3,8,2.79344347976162,1.51162790697675,0,0,0,0,0,0,0,0
3,9,5.01241053730933,1.41304347826088,0,0,0,0,0,0,0,0
4,5,0.572726063070918,1.04761904761905,0,0,0,0,0,0,0,0
4,6,0.952868552061956,1.02380952380952,0,0,0,0,0,0,0,0
4,7,1.97589948259202,1.11904761904762,0,0,0,0,0,0,0,0
4,8,3.1050355351816,1.02380952380952,0,0,0,0,0,0,0,0
4,9,5.86909541511599,1.09523809523809,0,0,0,0,0,0,0,0
5,6,0.407681559792371,1.02325581395349,0,0,0,0,0,0,0,0
5,7,1.50421056985836,1.06818181818181,0,0,0,0,0,0,0,0
5,8,2.49824882517648,1.02325581395349,0,0,0,0,0,0,0,0
5,9,5.20125815738395,1.04545454545454,0,0,0,0,0,0,0,0
6,7,1.13338779825555,1.09302325581395,0,0,0,0,0,0,0,0
6,8,2.12870108450977,1,0,0,0,0,0,0,0,0
6,9,4.89578296310875,1.06976744186046,0,0,0,0,0,0,0,0
7,8,1.16856987619721,1.09302325581395,0,0,0,0,0,0,0,0
7,9,3.86781532330435,1.02173913043478,0,0,0,0,0,0,0,0
8,9,2.87978207594757,1.06976744186046,0,0,0,0,0,0,0,0
