id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.43885805415267,1.38297872340426,0,0,0,0,0,0,0,0
1,3,2.58460673991228,1.08333333333333,0,0,0,0,0,0,0,0
1,4,4.13181174149539,1.3265306122449,0,0,0,0,0,0,0,0
1,5,4.78096713672126,1.0655737704918,0,0,0,0,0,0,0,0
1,6,6.38537742662159,1.14035087719298,0,0,0,0,0,0,0,0
1,7,6.90996524078857,1.03174603174603,0,0,0,0,0,0,0,0
2,3,1.51401869158879,1.27659574468085,0,0,0,0,0,0,0,0
2,4,3.23158511586979,1.04255319148936,0,0,0,0,0,0,0,0
2,5,4.08569470648113,1.29787234042554,0,0,0,0,0,0,0,0
2,6,5.94233880997579,1.21276595744681,0,0,0,0,0,0,0,0
2,7,6.57576944559744,1.3404255319149,0,0,0,0,0,0,0,0
3,4,1.36225403253362,1.22448979591837,0,0,0,0,0,0,0,0
3,5,2.30911516400827,1.01666666666667,0,0,0,0,0,0,0,0
3,6,3.89747338413521,1.05263157894737,0,0,0,0,0,0,0,0
3,7,4.56448135632271,1.05,0,0,0,0,0,0,0,0
4,5,1.21594095115438,1.24489795918368,0,0,0,0,0,0,0,0
4,6,2.90719146135084,1.16326530612245,0,0,0,0,0,0,0,0
4,7,3.69997457589169,1.28571428571429,0,0,0,0,0,0,0,0
5,6,1.50690262791599,1.07017543859649,0,0,0,0,0,0,0,0
5,7,2.27489408107825,1.0327868852459,0,0,0,0,0,0,0,0
6,7,0.897566153550812,1.10526315789474,0,0,0,0,0,0,0,0
