id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.53590454458703,1.5,0,0,0,0,0,0,0,0
1,3,3.11289630809938,1.37349397590361,0,0,0,0,0,0,0,0
1,4,1.60164818864374,1.44303797468354,0,0,0,0,0,0,0,0
1,5,1.97268951015038,1.56164383561644,0,0,0,0,0,0,0,0
1,6,2.85421170437702,1.52,0,0,0,0,0,0,0,0
1,7,3.96131532951955,1.62857142857143,0,0,0,0,0,0,0,0
1,8,5.61158553382287,1.65217391304348,0,0,0,0,0,0,0,0
2,3,2.02987847653119,1.09210526315789,0,0,0,0,0,0,0,0
2,4,1.65877981307412,1.03947368421052,0,0,0,0,0,0,0,0
2,5,1.52952416430129,1.04109589041096,0,0,0,0,0,0,0,0
2,6,1.92679953986439,1.01333333333334,0,0,0,0,0,0,0,0
2,7,3.08131646627246,1.08571428571429,0,0,0,0,0,0,0,0
2,8,5.07935131195877,1.10144927536232,0,0,0,0,0,0,0,0
3,4,3.09639129946598,1.05063291139241,0,0,0,0,0,0,0,0
3,5,2.69354367233815,1.13698630136986,0,0,0,0,0,0,0,0
3,6,1.71286450805224,1.10666666666667,0,0,0,0,0,0,0,0
3,7,1.51234825084499,1.18571428571429,0,0,0,0,0,0,0,0
3,8,2.83531260642936,1.20289855072464,0,0,0,0,0,0,0,0
4,5,0.620656653424777,1.08219178082192,0,0,0,0,0,0,0,0
4,6,1.98123257334875,1.05333333333334,0,0,0,0,0,0,0,0
4,7,3.47643880624537,1.12857142857143,0,0,0,0,0,0,0,0
4,8,5.6832197288585,1.14492753623188,0,0,0,0,0,0,0,0
5,6,1.4241217354257,1.02739726027397,0,0,0,0,0,0,0,0
5,7,2.96279932869169,1.04285714285715,0,0,0,0,0,0,0,0
5,8,5.26073307040077,1.05797101449276,0,0,0,0,0,0,0,0
6,7,1.46954820886178,1.07142857142857,0,0,0,0,0,0,0,0
6,8,3.73009764915374,1.08695652173913,0,0,0,0,0,0,0,0
7,8,2.33452960281841,1.01449275362319,0,0,0,0,0,0,0,0
