id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.91655365273235,1.02941176470588,0,0,0,0,0,0,0,0
1,3,2.36722398583969,1.25714285714285,0,0,0,0,0,0,0,0
1,4,4.60254723591049,1.59090909090909,0,0,0,0,0,0,0,0
1,5,5.27148785293806,1.66666666666667,0,0,0,0,0,0,0,0
1,6,3.92775704840446,1.34285714285714,0,0,0,0,0,0,0,0
2,3,0.709311599672979,1.29411764705882,0,0,0,0,0,0,0,0
2,4,2.41124332819297,1.54545454545455,0,0,0,0,0,0,0,0
2,5,3.03462116578573,1.61904761904763,0,0,0,0,0,0,0,0
2,6,2.35297759907974,1.38235294117647,0,0,0,0,0,0,0,0
3,4,1.24001984640061,2,0,0,0,0,0,0,0,0
3,5,1.73239240126268,2.0952380952381,0,0,0,0,0,0,0,0
3,6,1.48680953192699,1.06818181818182,0,0,0,0,0,0,0,0
4,5,0.767794140428801,1.04761904761905,0,0,0,0,0,0,0,0
4,6,0.985933411692461,2.13636363636363,0,0,0,0,0,0,0,0
5,6,0.603120489835585,2.23809523809524,0,0,0,0,0,0,0,0
