id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.611141350357777,3.2,0,0,0,0,0,0,0,0
1,3,0.946674840064596,2.55072463768116,0,0,0,0,0,0,0,0
1,4,1.05232143781847,2.58823529411765,0,0,0,0,0,0,0,0
1,5,1.6357084372946,3.66666666666667,0,0,0,0,0,0,0,0
1,6,1.95144237613274,4.63157894736842,0,0,0,0,0,0,0,0
1,7,2.73742416312579,4.29268292682927,0,0,0,0,0,0,0,0
1,8,3.25583456364952,4.29268292682927,0,0,0,0,0,0,0,0
1,9,3.25596098858803,2.93333333333333,0,0,0,0,0,0,0,0
2,3,1.27286578431928,1.25454545454545,0,0,0,0,0,0,0,0
2,4,1.79674796747967,1.23636363636364,0,0,0,0,0,0,0,0
2,5,3.46222358845496,1.14583333333334,0,0,0,0,0,0,0,0
2,6,4.40341945561283,1.44736842105263,0,0,0,0,0,0,0,0
2,7,6.27654951264803,1.34146341463415,0,0,0,0,0,0,0,0
2,8,7.4885981039511,1.34146341463415,0,0,0,0,0,0,0,0
2,9,6.69382809710353,1.09090909090909,0,0,0,0,0,0,0,0
3,4,0.571071678658939,1.01470588235294,0,0,0,0,0,0,0,0
3,5,1.82502150248967,1.4375,0,0,0,0,0,0,0,0
3,6,2.46886454979908,1.81578947368421,0,0,0,0,0,0,0,0
3,7,4.17945585449463,1.68292682926829,0,0,0,0,0,0,0,0
3,8,5.23586645366946,1.68292682926829,0,0,0,0,0,0,0,0
3,9,4.81385362340086,1.15,0,0,0,0,0,0,0,0
4,5,1.18593245622393,1.41666666666667,0,0,0,0,0,0,0,0
4,6,1.78927225262653,1.78947368421052,0,0,0,0,0,0,0,0
4,7,3.5284026771902,1.65853658536585,0,0,0,0,0,0,0,0
4,8,4.59677889733202,1.65853658536585,0,0,0,0,0,0,0,0
4,9,4.29123209015342,1.13333333333333,0,0,0,0,0,0,0,0
5,6,0.618031733298526,1.26315789473684,0,0,0,0,0,0,0,0
5,7,2.77564479259228,1.17073170731707,0,0,0,0,0,0,0,0
5,8,4.08421943310226,1.17073170731707,0,0,0,0,0,0,0,0
5,9,3.82788349403372,1.25,0,0,0,0,0,0,0,0
6,7,2.47564648298835,1.07894736842105,0,0,0,0,0,0,0,0
6,8,3.94697265941516,1.07894736842105,0,0,0,0,0,0,0,0
6,9,3.67701076463821,1.57894736842105,0,0,0,0,0,0,0,0
7,8,1.42050924668888,1,0,0,0,0,0,0,0,0
7,9,1.73411538288566,1.46341463414634,0,0,0,0,0,0,0,0
8,9,0.801185280164114,1.46341463414634,0,0,0,0,0,0,0,0
