id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,3.58580890375893,1.06666666666667,0,0,0,0,0,0,0,0
1,3,4.69841322209484,1.66666666666666,0,0,0,0,0,0,0,0
1,4,5.18708130305523,1.01666666666667,0,0,0,0,0,0,0,0
1,5,3.4112307659958,1.1,0,0,0,0,0,0,0,0
1,6,4.7915376954822,1.11111111111111,0,0,0,0,0,0,0,0
1,7,7.12913798380816,1.17647058823529,0,0,0,0,0,0,0,0
2,3,1.12946890174099,1.77777777777778,0,0,0,0,0,0,0,0
2,4,2.87097474736369,1.04918032786885,0,0,0,0,0,0,0,0
2,5,2.16026516014358,1.03125,0,0,0,0,0,0,0,0
2,6,3.35858481024478,1.18518518518518,0,0,0,0,0,0,0,0
2,7,5.49246605495559,1.25490196078432,0,0,0,0,0,0,0,0
3,4,2.601944219407,1.69444444444445,0,0,0,0,0,0,0,0
3,5,1.73019078981646,1.83333333333333,0,0,0,0,0,0,0,0
3,6,3.15573160698255,1.5,0,0,0,0,0,0,0,0
3,7,5.97376127366916,1.41666666666666,0,0,0,0,0,0,0,0
4,5,1.5768687240953,1.08196721311475,0,0,0,0,0,0,0,0
4,6,1.26086956521739,1.12962962962963,0,0,0,0,0,0,0,0
4,7,2.52869375208559,1.19607843137256,0,0,0,0,0,0,0,0
5,6,1.13345587572795,1.22222222222222,0,0,0,0,0,0,0,0
5,7,3.36748882799152,1.29411764705883,0,0,0,0,0,0,0,0
6,7,2.46011263868371,1.05882352941177,0,0,0,0,0,0,0,0
