id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.870476245611334,1.76190476190476,0,0,0,0,0,0,0,0
1,3,2.26312648063414,1.9047619047619,0,0,0,0,0,0,0,0
1,4,4.22982694517863,2.23809523809524,0,0,0,0,0,0,0,0
1,5,6.05340180967591,2.33333333333334,0,0,0,0,0,0,0,0
1,6,8.84197061997179,2.57142857142858,0,0,0,0,0,0,0,0
1,7,12.5332126814454,2.09523809523809,0,0,0,0,0,0,0,0
1,8,12.3722399144003,1.95238095238095,0,0,0,0,0,0,0,0
2,3,1.13730943942501,1.08108108108108,0,0,0,0,0,0,0,0
2,4,2.82504289293787,1.27027027027027,0,0,0,0,0,0,0,0
2,5,4.35314113602295,1.32432432432433,0,0,0,0,0,0,0,0
2,6,6.73670292385416,1.45945945945946,0,0,0,0,0,0,0,0
2,7,9.4542110398606,1.18918918918919,0,0,0,0,0,0,0,0
2,8,9.20727958574907,1.1081081081081,0,0,0,0,0,0,0,0
3,4,1.72429118092866,1.175,0,0,0,0,0,0,0,0
3,5,3.24794905812984,1.225,0,0,0,0,0,0,0,0
3,6,5.59583569216498,1.35,0,0,0,0,0,0,0,0
3,7,8.10700300557651,1.1,0,0,0,0,0,0,0,0
3,8,7.81874377079403,1.025,0,0,0,0,0,0,0,0
4,5,1.48896403210047,1.04255319148936,0,0,0,0,0,0,0,0
4,6,3.72310141793354,1.14893617021277,0,0,0,0,0,0,0,0
4,7,5.86410735764967,1.06818181818182,0,0,0,0,0,0,0,0
4,8,5.52254021381676,1.14634146341464,0,0,0,0,0,0,0,0
5,6,2.36066119432451,1.10204081632653,0,0,0,0,0,0,0,0
5,7,4.21435423205594,1.11363636363637,0,0,0,0,0,0,0,0
5,8,3.82512809436123,1.19512195121952,0,0,0,0,0,0,0,0
6,7,1.81993450413294,1.22727272727273,0,0,0,0,0,0,0,0
6,8,1.43748780556071,1.31707317073171,0,0,0,0,0,0,0,0
7,8,0.560893997226365,1.07317073170732,0,0,0,0,0,0,0,0
