id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.591827490450632,1.10416666666667,0,0,0,0,0,0,0,0
1,3,2.07989306130579,1.20754716981132,0,0,0,0,0,0,0,0
1,4,4.77736537797231,1.01923076923077,0,0,0,0,0,0,0,0
1,5,7.12155051858811,1.0188679245283,0,0,0,0,0,0,0,0
1,6,8.34485828567245,1.0377358490566,0,0,0,0,0,0,0,0
2,3,1.68362177177897,1.33333333333333,0,0,0,0,0,0,0,0
2,4,4.44055176751718,1.08333333333334,0,0,0,0,0,0,0,0
2,5,6.91332898443715,1.125,0,0,0,0,0,0,0,0
2,6,8.20291830939754,1.14583333333333,0,0,0,0,0,0,0,0
3,4,2.24813306083408,1.23076923076923,0,0,0,0,0,0,0,0
3,5,4.40039465728954,1.18518518518518,0,0,0,0,0,0,0,0
3,6,5.52982042371256,1.16363636363636,0,0,0,0,0,0,0,0
4,5,2.47099586740198,1.03846153846154,0,0,0,0,0,0,0,0
4,6,3.76295618992222,1.05769230769231,0,0,0,0,0,0,0,0
5,6,1.29409840530095,1.01851851851852,0,0,0,0,0,0,0,0
