id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.691102339190896,1.24615384615385,0,0,0,0,0,0,0,0
1,3,2.32311293841578,1.12068965517241,0,0,0,0,0,0,0,0
1,4,3.79875124777604,1.01538461538462,0,0,0,0,0,0,0,0
1,5,5.92867781546721,1.14035087719298,0,0,0,0,0,0,0,0
2,3,1.48323620794832,1.39655172413793,0,0,0,0,0,0,0,0
2,4,2.80517196848604,1.22727272727273,0,0,0,0,0,0,0,0
2,5,4.59007495251801,1.42105263157895,0,0,0,0,0,0,0,0
3,4,1.71258501995443,1.13793103448276,0,0,0,0,0,0,0,0
3,5,3.82750961692781,1.01754385964912,0,0,0,0,0,0,0,0
4,5,1.8643430482753,1.15789473684211,0,0,0,0,0,0,0,0
