id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.6274583725438,1.14705882352941,0,0,0,0,0,0,0,0
1,3,2.93631227525703,1.32203389830508,0,0,0,0,0,0,0,0
1,4,4.23118279040454,1.59183673469387,0,0,0,0,0,0,0,0
1,5,6.45295474957014,1.34482758620689,0,0,0,0,0,0,0,0
1,6,7.5513784110251,1.52941176470588,0,0,0,0,0,0,0,0
1,7,5.17601732075221,1.34615384615385,0,0,0,0,0,0,0,0
2,3,1.29672871604308,1.15254237288135,0,0,0,0,0,0,0,0
2,4,2.5649286418599,1.38775510204081,0,0,0,0,0,0,0,0
2,5,5.08152855710704,1.17241379310344,0,0,0,0,0,0,0,0
2,6,6.18933092058785,1.33333333333333,0,0,0,0,0,0,0,0
2,7,4.21818408189813,1.54411764705882,0,0,0,0,0,0,0,0
3,4,1.25847606363549,1.20408163265306,0,0,0,0,0,0,0,0
3,5,4.06616689283405,1.01724137931035,0,0,0,0,0,0,0,0
3,6,5.19866479997308,1.15686274509804,0,0,0,0,0,0,0,0
3,7,3.57582312277242,1.77966101694914,0,0,0,0,0,0,0,0
4,5,3.17983701435384,1.18367346938775,0,0,0,0,0,0,0,0
4,6,4.37370552278041,1.04081632653061,0,0,0,0,0,0,0,0
4,7,3.04465140463507,2.14285714285713,0,0,0,0,0,0,0,0
5,6,0.928465750097227,1.13725490196079,0,0,0,0,0,0,0,0
5,7,1.82970253295521,1.8103448275862,0,0,0,0,0,0,0,0
6,7,2.16512993598784,2.05882352941176,0,0,0,0,0,0,0,0
