id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.92554905010698,1.07894736842105,0,0,0,0,0,0,0,0
1,3,4.30416035933746,1,0,0,0,0,0,0,0,0
1,4,6.38161278506423,1.05555555555556,0,0,0,0,0,0,0,0
1,5,6.47924415848179,1.05263157894737,0,0,0,0,0,0,0,0
1,6,9.93422814761615,1.72727272727273,0,0,0,0,0,0,0,0
1,7,8.95409994891046,1.26315789473685,0,0,0,0,0,0,0,0
2,3,2.24179323693349,1.07894736842105,0,0,0,0,0,0,0,0
2,4,4.28079213606481,1.13888888888889,0,0,0,0,0,0,0,0
2,5,4.38620970125259,1.025,0,0,0,0,0,0,0,0
2,6,7.04769054732786,1.86363636363636,0,0,0,0,0,0,0,0
2,7,6.94586530373095,1.17073170731708,0,0,0,0,0,0,0,0
3,4,2.16321764778137,1.05555555555556,0,0,0,0,0,0,0,0
3,5,2.28669219829221,1.05263157894736,0,0,0,0,0,0,0,0
3,6,4.53765113002066,1.72727272727273,0,0,0,0,0,0,0,0
3,7,5.1670315705913,1.26315789473684,0,0,0,0,0,0,0,0
4,5,1.1021258732301,1.11111111111111,0,0,0,0,0,0,0,0
4,6,3.24623627306254,1.63636363636364,0,0,0,0,0,0,0,0
4,7,3.94960100169148,1.33333333333334,0,0,0,0,0,0,0,0
5,6,1.7593218350998,1.81818181818181,0,0,0,0,0,0,0,0
5,7,3.06795032796753,1.20000000000001,0,0,0,0,0,0,0,0
6,7,2.49754981973149,2.18181818181819,0,0,0,0,0,0,0,0
