id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.57397931699566,1.14035087719298,0,0,0,0,0,0,0,0
1,3,3.42819393347345,1.07017543859649,0,0,0,0,0,0,0,0
1,4,5.23492427194167,1,0,0,0,0,0,0,0,0
1,5,5.41572254610097,1.29824561403509,0,0,0,0,0,0,0,0
2,3,0.853091542653034,1.0655737704918,0,0,0,0,0,0,0,0
2,4,2.50557025239905,1.14035087719298,0,0,0,0,0,0,0,0
2,5,2.97884298212193,1.13846153846154,0,0,0,0,0,0,0,0
3,4,1.68816452224889,1.07017543859649,0,0,0,0,0,0,0,0
3,5,2.29195527550405,1.21311475409836,0,0,0,0,0,0,0,0
4,5,0.86110795211286,1.29824561403509,0,0,0,0,0,0,0,0
