id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.33659987096761,1.16666666666667,0,0,0,0,0,0,0,0
1,3,3.59063451913446,1.10526315789474,0,0,0,0,0,0,0,0
1,4,4.4918328664366,1.10526315789474,0,0,0,0,0,0,0,0
1,5,5.71851772087844,1.35483870967742,0,0,0,0,0,0,0,0
1,6,8.10457167475555,1.90909090909091,0,0,0,0,0,0,0,0
1,7,7.15164748365559,1.2,0,0,0,0,0,0,0,0
1,8,6.86171348236902,1.30952380952381,0,0,0,0,0,0,0,0
1,9,7.31141870786528,1.42857142857143,0,0,0,0,0,0,0,0
1,10,11.3175105790263,1.23529411764706,0,0,0,0,0,0,0,0
1,11,13.5295315997503,1.39999999999999,0,0,0,0,0,0,0,0
2,3,1.97517289539582,1.28947368421052,0,0,0,0,0,0,0,0
2,4,2.73485935186101,1.28947368421053,0,0,0,0,0,0,0,0
2,5,3.70084449821929,1.58064516129032,0,0,0,0,0,0,0,0
2,6,5.59266672057358,2.22727272727273,0,0,0,0,0,0,0,0
2,7,5.11341051747084,1.4,0,0,0,0,0,0,0,0
2,8,5.27877609593416,1.12244897959184,0,0,0,0,0,0,0,0
2,9,5.75966342337903,1.22448979591837,0,0,0,0,0,0,0,0
2,10,8.91996802591769,1.44117647058824,0,0,0,0,0,0,0,0
2,11,10.8269811984456,1.63333333333332,0,0,0,0,0,0,0,0
3,4,1.26185513960668,1,0,0,0,0,0,0,0,0
3,5,2.11837263612869,1.2258064516129,0,0,0,0,0,0,0,0
3,6,4.13242597567632,1.72727272727273,0,0,0,0,0,0,0,0
3,7,4.01428300014514,1.08571428571429,0,0,0,0,0,0,0,0
3,8,4.7027985311666,1.44736842105263,0,0,0,0,0,0,0,0
3,9,5.17229185971259,1.57894736842105,0,0,0,0,0,0,0,0
3,10,8.43386124097964,1.11764705882353,0,0,0,0,0,0,0,0
3,11,10.6765617400095,1.26666666666666,0,0,0,0,0,0,0,0
4,5,0.842576339347748,1.2258064516129,0,0,0,0,0,0,0,0
4,6,2.66687499186262,1.72727272727272,0,0,0,0,0,0,0,0
4,7,2.73276512973016,1.08571428571428,0,0,0,0,0,0,0,0
4,8,3.67164547038093,1.44736842105263,0,0,0,0,0,0,0,0
4,9,4.19888970072651,1.57894736842105,0,0,0,0,0,0,0,0
4,10,7.14252231358084,1.11764705882353,0,0,0,0,0,0,0,0
4,11,9.29974699213085,1.26666666666666,0,0,0,0,0,0,0,0
5,6,1.94037134070678,1.40909090909091,0,0,0,0,0,0,0,0
5,7,2.23468155514215,1.12903225806451,0,0,0,0,0,0,0,0
5,8,3.46763214426493,1.7741935483871,0,0,0,0,0,0,0,0
5,9,3.99076642269406,1.93548387096774,0,0,0,0,0,0,0,0
5,10,7.09397610944808,1.09677419354839,0,0,0,0,0,0,0,0
5,11,9.50842283507282,1.03333333333333,0,0,0,0,0,0,0,0
6,7,1.03864983267479,1.59090909090909,0,0,0,0,0,0,0,0
6,8,2.83833835449655,2.5,0,0,0,0,0,0,0,0
6,9,3.3126988732911,2.72727272727272,0,0,0,0,0,0,0,0
6,10,6.4512743955385,1.54545454545454,0,0,0,0,0,0,0,0
6,11,9.24646102139179,1.36363636363637,0,0,0,0,0,0,0,0
7,8,1.77256179261598,1.57142857142857,0,0,0,0,0,0,0,0
7,9,2.28015648002658,1.71428571428571,0,0,0,0,0,0,0,0
7,10,4.56188053803125,1.02941176470588,0,0,0,0,0,0,0,0
7,11,6.66267533379423,1.16666666666666,0,0,0,0,0,0,0,0
8,9,0.731262471013171,1.09090909090909,0,0,0,0,0,0,0,0
8,10,2.3431748494735,1.61764705882353,0,0,0,0,0,0,0,0
8,11,3.67264271312496,1.83333333333332,0,0,0,0,0,0,0,0
9,10,1.33085063863796,1.76470588235294,0,0,0,0,0,0,0,0
9,11,2.54667539265521,1.99999999999999,0,0,0,0,0,0,0,0
10,11,1.87219842781821,1.13333333333333,0,0,0,0,0,0,0,0
