id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.0867638701434,1,0,0,0,0,0,0,0,0
1,3,3.02691091347709,1.01785714285714,0,0,0,0,0,0,0,0
1,4,3.40482765849265,1.14035087719298,0,0,0,0,0,0,0,0
1,5,4.51871701025893,1.05263157894737,0,0,0,0,0,0,0,0
1,6,4.92403086911526,1.19298245614035,0,0,0,0,0,0,0,0
1,7,6.2767122294665,1.16326530612245,0,0,0,0,0,0,0,0
1,8,3.8725707739852,1.03508771929825,0,0,0,0,0,0,0,0
1,9,3.34395586339391,1.1875,0,0,0,0,0,0,0,0
2,3,2.00095912470708,1.01785714285714,0,0,0,0,0,0,0,0
2,4,2.44868046339754,1.14035087719298,0,0,0,0,0,0,0,0
2,5,3.58183907909687,1.05263157894737,0,0,0,0,0,0,0,0
2,6,4.03355525560268,1.19298245614035,0,0,0,0,0,0,0,0
2,7,5.24685228324225,1.16326530612245,0,0,0,0,0,0,0,0
2,8,2.94582979796408,1.03508771929825,0,0,0,0,0,0,0,0
2,9,2.34031995796919,1.1875,0,0,0,0,0,0,0,0
3,4,0.6061858122609,1.16071428571428,0,0,0,0,0,0,0,0
3,5,1.68562591359137,1.07142857142857,0,0,0,0,0,0,0,0
3,6,2.24832288055656,1.21428571428571,0,0,0,0,0,0,0,0
3,7,3.15998220380189,1.14285714285714,0,0,0,0,0,0,0,0
3,8,1.07450256658393,1.05357142857143,0,0,0,0,0,0,0,0
3,9,0.548161262066893,1.16666666666667,0,0,0,0,0,0,0,0
4,5,1.04310306298083,1.08333333333333,0,0,0,0,0,0,0,0
4,6,1.57106877918752,1.04615384615385,0,0,0,0,0,0,0,0
4,7,2.30916783253047,1.3265306122449,0,0,0,0,0,0,0,0
4,8,0.612956279537415,1.10169491525424,0,0,0,0,0,0,0,0
4,9,0.79202303841644,1.35416666666667,0,0,0,0,0,0,0,0
5,6,0.683403991519659,1.13333333333333,0,0,0,0,0,0,0,0
5,7,1.25808554054872,1.22448979591836,0,0,0,0,0,0,0,0
5,8,0.672793912646993,1.01694915254237,0,0,0,0,0,0,0,0
5,9,1.6473416670203,1.25,0,0,0,0,0,0,0,0
6,7,0.474724583829019,1.38775510204081,0,0,0,0,0,0,0,0
6,8,1.3191267870038,1.15254237288135,0,0,0,0,0,0,0,0
6,9,2.28610872520278,1.41666666666667,0,0,0,0,0,0,0,0
7,8,2.00104996444853,1.20408163265306,0,0,0,0,0,0,0,0
7,9,3.23947645052469,1.02083333333333,0,0,0,0,0,0,0,0
8,9,0.917079141325477,1.22916666666667,0,0,0,0,0,0,0,0
