id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.36486486486487,1.17647058823529,0,0,0,0,0,0,0,0
1,3,3.26153846153846,1.09677419354839,0,0,0,0,0,0,0,0
1,4,5.78354294845527,1.47826086956522,0,0,0,0,0,0,0,0
1,5,7.05535375882651,1.25925925925925,0,0,0,0,0,0,0,0
1,6,8.0705053522456,1.13333333333333,0,0,0,0,0,0,0,0
1,7,9.15604192677828,1.0625,0,0,0,0,0,0,0,0
1,8,11.7126759430933,1.25925925925926,0,0,0,0,0,0,0,0
1,9,11.6330237761303,1.02941176470588,0,0,0,0,0,0,0,0
1,10,16.7802515768415,2.26666666666666,0,0,0,0,0,0,0,0
1,11,14.3898386017779,1.25925925925925,0,0,0,0,0,0,0,0
1,12,13.7010725038262,1.05882352941176,0,0,0,0,0,0,0,0
1,13,16.9377798127034,1.17241379310345,0,0,0,0,0,0,0,0
2,3,1.56338028169014,1.29032258064516,0,0,0,0,0,0,0,0
2,4,3.65513889098914,1.73913043478261,0,0,0,0,0,0,0,0
2,5,4.91779154160603,1.48148148148147,0,0,0,0,0,0,0,0
2,6,5.93766943904314,1.33333333333333,0,0,0,0,0,0,0,0
2,7,6.99109331953659,1.25,0,0,0,0,0,0,0,0
2,8,9.15747968452137,1.48148148148148,0,0,0,0,0,0,0,0
2,9,9.35701756852993,1.14285714285714,0,0,0,0,0,0,0,0
2,10,13.1164523524484,2.66666666666666,0,0,0,0,0,0,0,0
2,11,11.5952475650543,1.48148148148147,0,0,0,0,0,0,0,0
2,12,11.290577789219,1.11111111111111,0,0,0,0,0,0,0,0
2,13,14.0027977520754,1.37931034482759,0,0,0,0,0,0,0,0
3,4,2.29786386160595,1.34782608695653,0,0,0,0,0,0,0,0
3,5,3.7714113274361,1.14814814814815,0,0,0,0,0,0,0,0
3,6,4.9978495778802,1.03333333333333,0,0,0,0,0,0,0,0
3,7,6.22952681053663,1.03225806451613,0,0,0,0,0,0,0,0
3,8,8.66677337658016,1.14814814814815,0,0,0,0,0,0,0,0
3,9,8.95336607113062,1.12903225806451,0,0,0,0,0,0,0,0
3,10,13.2752238775137,2.06666666666667,0,0,0,0,0,0,0,0
3,11,11.4832504813368,1.14814814814815,0,0,0,0,0,0,0,0
3,12,11.1506922287261,1.16129032258064,0,0,0,0,0,0,0,0
3,13,14.2557980407193,1.06896551724138,0,0,0,0,0,0,0,0
4,5,2.47426756839272,1.17391304347827,0,0,0,0,0,0,0,0
4,6,3.83367254885171,1.30434782608696,0,0,0,0,0,0,0,0
4,7,5.08389126685683,1.39130434782609,0,0,0,0,0,0,0,0
4,8,7.90364472885771,1.17391304347826,0,0,0,0,0,0,0,0
4,9,8.21153158014969,1.52173913043479,0,0,0,0,0,0,0,0
4,10,13.0267410882193,1.53333333333333,0,0,0,0,0,0,0,0
4,11,11.0226131203086,1.17391304347827,0,0,0,0,0,0,0,0
4,12,10.747126043014,1.56521739130435,0,0,0,0,0,0,0,0
4,13,14.2307822245263,1.26086956521739,0,0,0,0,0,0,0,0
5,6,1.51131975819521,1.11111111111111,0,0,0,0,0,0,0,0
5,7,3.01509179162456,1.18518518518518,0,0,0,0,0,0,0,0
5,8,5.26134543913474,1.00000000000001,0,0,0,0,0,0,0,0
5,9,6.05612408375141,1.29629629629629,0,0,0,0,0,0,0,0
5,10,9.42959349919656,1.8,0,0,0,0,0,0,0,0
5,11,8.34020292983547,1,0,0,0,0,0,0,0,0
5,12,8.41031712329484,1.33333333333333,0,0,0,0,0,0,0,0
5,13,11.4181313922111,1.07407407407407,0,0,0,0,0,0,0,0
6,7,1.57272538622566,1.06666666666667,0,0,0,0,0,0,0,0
6,8,3.47408291172826,1.11111111111112,0,0,0,0,0,0,0,0
6,9,4.48355311340348,1.16666666666666,0,0,0,0,0,0,0,0
6,10,6.94418666188212,2,0,0,0,0,0,0,0,0
6,11,6.42021373103015,1.11111111111111,0,0,0,0,0,0,0,0
6,12,6.73303738814483,1.2,0,0,0,0,0,0,0,0
6,13,9.39938631429309,1.03448275862069,0,0,0,0,0,0,0,0
7,8,2.01438378372961,1.18518518518519,0,0,0,0,0,0,0,0
7,9,2.96260197631032,1.09375,0,0,0,0,0,0,0,0
7,10,4.65004368715391,2.13333333333333,0,0,0,0,0,0,0,0
7,11,4.63716547563021,1.18518518518518,0,0,0,0,0,0,0,0
7,12,5.22160304966822,1.125,0,0,0,0,0,0,0,0
7,13,7.58867669457185,1.10344827586207,0,0,0,0,0,0,0,0
8,9,1.7088403306788,1.2962962962963,0,0,0,0,0,0,0,0
8,10,3.05746178428419,1.79999999999999,0,0,0,0,0,0,0,0
8,11,3.23613429229232,1.00000000000001,0,0,0,0,0,0,0,0
8,12,3.93538770542857,1.33333333333333,0,0,0,0,0,0,0,0
