id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.22371448818447,1.15094339622641,0,0,0,0,0,0,0,0
1,3,3.33015996581604,2.54166666666667,0,0,0,0,0,0,0,0
1,4,3.88848460200115,3.21052631578948,0,0,0,0,0,0,0,0
1,5,3.47592954010873,1.38636363636364,0,0,0,0,0,0,0,0
1,6,3.7148066629191,1.48780487804878,0,0,0,0,0,0,0,0
1,7,4.55376662892756,1.525,0,0,0,0,0,0,0,0
1,8,5.51179488120703,1.74285714285715,0,0,0,0,0,0,0,0
1,9,9.02111033681145,1.45238095238095,0,0,0,0,0,0,0,0
2,3,0.756486539179776,2.20833333333334,0,0,0,0,0,0,0,0
2,4,0.976775054028735,2.78947368421053,0,0,0,0,0,0,0,0
2,5,1.15284285896024,1.20454545454546,0,0,0,0,0,0,0,0
2,6,1.35173379267712,1.29268292682927,0,0,0,0,0,0,0,0
2,7,2.22349368181726,1.325,0,0,0,0,0,0,0,0
2,8,3.13687825158855,1.51428571428572,0,0,0,0,0,0,0,0
2,9,7.15183179758457,1.26190476190476,0,0,0,0,0,0,0,0
3,4,0.717923211182938,1.26315789473684,0,0,0,0,0,0,0,0
3,5,1.58072844668062,1.83333333333334,0,0,0,0,0,0,0,0
3,6,1.59674224557897,1.70833333333334,0,0,0,0,0,0,0,0
3,7,2.89315767425922,1.66666666666667,0,0,0,0,0,0,0,0
3,8,4.2793841158952,1.45833333333333,0,0,0,0,0,0,0,0
3,9,9.79463131369254,1.75,0,0,0,0,0,0,0,0
4,5,1.26038143054637,2.31578947368421,0,0,0,0,0,0,0,0
4,6,1.21529603160894,2.15789473684211,0,0,0,0,0,0,0,0
4,7,2.61665494086913,2.10526315789474,0,0,0,0,0,0,0,0
4,8,4.11081914211809,1.84210526315789,0,0,0,0,0,0,0,0
4,9,10.1327522735663,2.21052631578948,0,0,0,0,0,0,0,0
5,6,0.447986653286114,1.07317073170732,0,0,0,0,0,0,0,0
5,7,1.17399303114976,1.1,0,0,0,0,0,0,0,0
5,8,2.11487131054129,1.25714285714286,0,0,0,0,0,0,0,0
5,9,6.66807493689,1.04761904761905,0,0,0,0,0,0,0,0
6,7,1.01242095474424,1.025,0,0,0,0,0,0,0,0
6,8,1.98191267197503,1.17142857142857,0,0,0,0,0,0,0,0
6,9,6.65496626518196,1.02439024390244,0,0,0,0,0,0,0,0
7,8,0.923471710449217,1.14285714285715,0,0,0,0,0,0,0,0
7,9,5.79098819881874,1.05,0,0,0,0,0,0,0,0
8,9,5.28365574643999,1.2,0,0,0,0,0,0,0,0
