id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.6634312531653,1.11666666666667,0,0,0,0,0,0,0,0
1,3,2.55069023811689,1.01515151515151,0,0,0,0,0,0,0,0
1,4,4.76397790627122,1.19642857142857,0,0,0,0,0,0,0,0
1,5,5.41143978581999,1.26415094339623,0,0,0,0,0,0,0,0
1,6,6.11328356447199,1.01492537313433,0,0,0,0,0,0,0,0
1,7,7.36207828518488,1.07462686567164,0,0,0,0,0,0,0,0
2,3,1.01698847489786,1.1,0,0,0,0,0,0,0,0
2,4,3.23133301899805,1.07142857142857,0,0,0,0,0,0,0,0
2,5,3.88496583142201,1.13207547169811,0,0,0,0,0,0,0,0
2,6,4.80469385162183,1.13333333333333,0,0,0,0,0,0,0,0
2,7,6.15381450533115,1.2,0,0,0,0,0,0,0,0
3,4,2.02239876092376,1.17857142857143,0,0,0,0,0,0,0,0
3,5,2.61410729546295,1.24528301886792,0,0,0,0,0,0,0,0
3,6,3.63470377171662,1.03030303030303,0,0,0,0,0,0,0,0
3,7,4.95775580026783,1.09090909090909,0,0,0,0,0,0,0,0
4,5,0.642267362318794,1.05660377358491,0,0,0,0,0,0,0,0
4,6,1.95482606724327,1.21428571428571,0,0,0,0,0,0,0,0
4,7,3.41800223197887,1.28571428571428,0,0,0,0,0,0,0,0
5,6,1.45454545454546,1.28301886792453,0,0,0,0,0,0,0,0
5,7,2.99965864724639,1.35849056603773,0,0,0,0,0,0,0,0
6,7,1.43968888362474,1.05882352941176,0,0,0,0,0,0,0,0
