id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.03707837219209,1.45454545454545,0,0,0,0,0,0,0,0
1,3,1.89432215261477,1.30612244897959,0,0,0,0,0,0,0,0
1,4,3.19397842672551,1.42222222222222,0,0,0,0,0,0,0,0
1,5,3.97465864597714,1.33333333333334,0,0,0,0,0,0,0,0
1,6,4.68656327421097,1.18518518518519,0,0,0,0,0,0,0,0
1,7,5.34091508543872,1.12280701754386,0,0,0,0,0,0,0,0
1,8,7.33447719783732,1.25490196078432,0,0,0,0,0,0,0,0
1,9,6.85406016463077,1.234375,0,0,0,0,0,0,0,0
2,3,1.09867008812428,1.11363636363636,0,0,0,0,0,0,0,0
2,4,2.65456423426314,1.02272727272728,0,0,0,0,0,0,0,0
2,5,3.62232236026331,1.09090909090909,0,0,0,0,0,0,0,0
2,6,4.50010412207737,1.22727272727273,0,0,0,0,0,0,0,0
2,7,5.29047433732096,1.29545454545454,0,0,0,0,0,0,0,0
2,8,7.70078961307346,1.15909090909091,0,0,0,0,0,0,0,0
2,9,7.05826389181513,1.79545454545455,0,0,0,0,0,0,0,0
3,4,1.4265239482465,1.08888888888888,0,0,0,0,0,0,0,0
3,5,2.38253645638215,1.02083333333334,0,0,0,0,0,0,0,0
3,6,3.29242182507346,1.10204081632653,0,0,0,0,0,0,0,0
3,7,4.07731658103195,1.16326530612245,0,0,0,0,0,0,0,0
3,8,6.29420368275449,1.04081632653061,0,0,0,0,0,0,0,0
3,9,5.98499201290455,1.61224489795919,0,0,0,0,0,0,0,0
4,5,1.04323243404087,1.06666666666666,0,0,0,0,0,0,0,0
4,6,2.0755302291386,1.2,0,0,0,0,0,0,0,0
4,7,2.92262120794086,1.26666666666666,0,0,0,0,0,0,0,0
4,8,5.15965796468138,1.13333333333333,0,0,0,0,0,0,0,0
4,9,5.09700387395918,1.75555555555555,0,0,0,0,0,0,0,0
5,6,1.0703799265848,1.125,0,0,0,0,0,0,0,0
5,7,1.91513840284216,1.1875,0,0,0,0,0,0,0,0
5,8,4.02344927480539,1.0625,0,0,0,0,0,0,0,0
5,9,4.21271616584301,1.64583333333334,0,0,0,0,0,0,0,0
6,7,0.860961537051334,1.05555555555555,0,0,0,0,0,0,0,0
6,8,2.77866833796809,1.05882352941177,0,0,0,0,0,0,0,0
6,9,3.21404607117919,1.46296296296297,0,0,0,0,0,0,0,0
7,8,1.82642262795669,1.11764705882353,0,0,0,0,0,0,0,0
7,9,2.45592638213438,1.38596491228071,0,0,0,0,0,0,0,0
8,9,1.05788110203156,1.54901960784314,0,0,0,0,0,0,0,0
