id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.537863812814251,1.15555555555556,0,0,0,0,0,0,0,0
1,3,0.853825646436519,1.02222222222222,0,0,0,0,0,0,0,0
1,4,1.13259403836601,1.46666666666667,0,0,0,0,0,0,0,0
1,5,2.01659666598049,1.68888888888889,0,0,0,0,0,0,0,0
1,6,2.39867556048008,2.33333333333334,0,0,0,0,0,0,0,0
1,7,3.09086078110492,3.42222222222223,0,0,0,0,0,0,0,0
1,8,5.59376603292652,3.97777777777778,0,0,0,0,0,0,0,0
1,9,9.22786271608441,1.82222222222222,0,0,0,0,0,0,0,0
2,3,0.552247311336114,1.1304347826087,0,0,0,0,0,0,0,0
2,4,0.686022052723345,1.26923076923077,0,0,0,0,0,0,0,0
2,5,1.50945102034233,1.46153846153846,0,0,0,0,0,0,0,0
2,6,1.97440928380117,2.01923076923077,0,0,0,0,0,0,0,0
2,7,2.73976127202599,2.96153846153846,0,0,0,0,0,0,0,0
2,8,5.21618975118082,3.44230769230769,0,0,0,0,0,0,0,0
2,9,8.35992119988316,1.57692307692307,0,0,0,0,0,0,0,0
3,4,0.526255786724692,1.43478260869565,0,0,0,0,0,0,0,0
3,5,1.50098507473304,1.65217391304348,0,0,0,0,0,0,0,0
3,6,1.9436606603064,2.28260869565217,0,0,0,0,0,0,0,0
3,7,2.74937265571621,3.34782608695652,0,0,0,0,0,0,0,0
3,8,5.24936304190128,3.89130434782608,0,0,0,0,0,0,0,0
3,9,8.67565021991328,1.78260869565217,0,0,0,0,0,0,0,0
4,5,0.874629742843255,1.15151515151515,0,0,0,0,0,0,0,0
4,6,1.38016651710011,1.59090909090909,0,0,0,0,0,0,0,0
4,7,2.23754588114924,2.33333333333333,0,0,0,0,0,0,0,0
4,8,4.60141223817095,2.71212121212121,0,0,0,0,0,0,0,0
4,9,7.10876641181405,1.24242424242424,0,0,0,0,0,0,0,0
5,6,0.651395039192768,1.38157894736842,0,0,0,0,0,0,0,0
5,7,1.6138870406451,2.02631578947368,0,0,0,0,0,0,0,0
5,8,3.97753398783408,2.35526315789473,0,0,0,0,0,0,0,0
5,9,5.87828530294916,1.07894736842105,0,0,0,0,0,0,0,0
6,7,0.989893925504641,1.46666666666667,0,0,0,0,0,0,0,0
6,8,3.15622811870657,1.7047619047619,0,0,0,0,0,0,0,0
6,9,4.37353718451793,1.28048780487805,0,0,0,0,0,0,0,0
7,8,1.96299256909261,1.16233766233766,0,0,0,0,0,0,0,0
7,9,2.385879201331,1.87804878048781,0,0,0,0,0,0,0,0
8,9,1.24733682330629,2.18292682926829,0,0,0,0,0,0,0,0
