id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.60048297918909,1.34,0,0,0,0,0,0,0,0
1,3,4.28167547376619,1.38,0,0,0,0,0,0,0,0
1,4,5.91426355578482,1.14,0,0,0,0,0,0,0,0
1,5,7.92160647295901,1.08,0,0,0,0,0,0,0,0
1,6,9.02162183278744,1.16,0,0,0,0,0,0,0,0
2,3,2.42532281231687,1.02985074626866,0,0,0,0,0,0,0,0
2,4,3.61752656370702,1.17543859649123,0,0,0,0,0,0,0,0
2,5,5.3340881520818,1.24074074074074,0,0,0,0,0,0,0,0
2,6,6.41127007698162,1.1551724137931,0,0,0,0,0,0,0,0
3,4,1.03895527696013,1.21052631578948,0,0,0,0,0,0,0,0
3,5,2.56583614119135,1.27777777777778,0,0,0,0,0,0,0,0
3,6,3.7270387416333,1.18965517241379,0,0,0,0,0,0,0,0
4,5,1.89242806645045,1.05555555555555,0,0,0,0,0,0,0,0
4,6,3.2802093160193,1.01754385964913,0,0,0,0,0,0,0,0
5,6,1.49970766709205,1.07407407407408,0,0,0,0,0,0,0,0
