id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.860806397699847,1.64705882352941,0,0,0,0,0,0,0,0
1,3,4.8086782060281,1.88235294117647,0,0,0,0,0,0,0,0
1,4,6.82671874980133,1.20588235294118,0,0,0,0,0,0,0,0
1,5,7.43354093714413,1.64705882352941,0,0,0,0,0,0,0,0
1,6,12.7989562362076,1.29411764705882,0,0,0,0,0,0,0,0
1,7,9.87340579470821,3.05882352941176,0,0,0,0,0,0,0,0
2,3,3.37816723814688,1.14285714285714,0,0,0,0,0,0,0,0
2,4,4.55910278636062,1.36585365853659,0,0,0,0,0,0,0,0
2,5,5.34895207169648,1,0,0,0,0,0,0,0,0
2,6,9.25739704236563,1.27272727272727,0,0,0,0,0,0,0,0
2,7,8.0688686087332,1.85714285714285,0,0,0,0,0,0,0,0
3,4,0.58592717772465,1.5609756097561,0,0,0,0,0,0,0,0
3,5,1.70132709638355,1.14285714285714,0,0,0,0,0,0,0,0
3,6,4.9924926492909,1.45454545454545,0,0,0,0,0,0,0,0
3,7,5.33894063757215,1.625,0,0,0,0,0,0,0,0
4,5,1.61885216293308,1.36585365853659,0,0,0,0,0,0,0,0
4,6,5.75336218837197,1.07317073170732,0,0,0,0,0,0,0,0
4,7,5.86855624813926,2.53658536585366,0,0,0,0,0,0,0,0
5,6,3.35049250111085,1.27272727272727,0,0,0,0,0,0,0,0
5,7,4.33957983277184,1.85714285714286,0,0,0,0,0,0,0,0
6,7,2.48126655374584,2.36363636363636,0,0,0,0,0,0,0,0
