id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.40702139336575,2.31034482758621,0,0,0,0,0,0,0,0
1,3,3.35001492533989,2.44827586206896,0,0,0,0,0,0,0,0
1,4,4.6113802495698,2.86206896551724,0,0,0,0,0,0,0,0
1,5,12.710930342922,1.55172413793103,0,0,0,0,0,0,0,0
2,3,1.46112906022871,1.05970149253731,0,0,0,0,0,0,0,0
2,4,2.54423094688967,1.23880597014925,0,0,0,0,0,0,0,0
2,5,7.22775440046695,1.48888888888889,0,0,0,0,0,0,0,0
3,4,1.19459343126208,1.16901408450704,0,0,0,0,0,0,0,0
3,5,5.24402298346696,1.57777777777778,0,0,0,0,0,0,0,0
4,5,3.44694193328032,1.84444444444445,0,0,0,0,0,0,0,0
