id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.85722793735826,1.67164179104478,0,0,0,0,0,0,0,0
1,3,1.30399329085556,2.79166666666667,0,0,0,0,0,0,0,0
1,4,1.63753843254305,2.31034482758621,0,0,0,0,0,0,0,0
1,5,2.08836728410128,1.17910447761194,0,0,0,0,0,0,0,0
1,6,4.6542876106224,6.09090909090908,0,0,0,0,0,0,0,0
1,7,4.87080827405784,3.94117647058823,0,0,0,0,0,0,0,0
1,8,4.10285853004208,1.03076923076923,0,0,0,0,0,0,0,0
1,9,4.39813127382788,1.55223880597015,0,0,0,0,0,0,0,0
2,3,0.979294728919729,4.66666666666667,0,0,0,0,0,0,0,0
2,4,0.890346373133346,3.86206896551725,0,0,0,0,0,0,0,0
2,5,1.0870905439368,1.41772151898734,0,0,0,0,0,0,0,0
2,6,2.22836911766923,10.1818181818182,0,0,0,0,0,0,0,0
2,7,2.50185917288609,6.58823529411763,0,0,0,0,0,0,0,0
2,8,2.48531709183221,1.72307692307693,0,0,0,0,0,0,0,0
2,9,3.02740257047707,1.07692307692308,0,0,0,0,0,0,0,0
3,4,0.837446830987629,1.20833333333333,0,0,0,0,0,0,0,0
3,5,1.90375451952695,3.29166666666667,0,0,0,0,0,0,0,0
3,6,7.10900549891991,2.18181818181818,0,0,0,0,0,0,0,0
3,7,7.15449464150004,1.41176470588235,0,0,0,0,0,0,0,0
3,8,4.80821426084936,2.70833333333333,0,0,0,0,0,0,0,0
3,9,4.96995366710043,4.33333333333333,0,0,0,0,0,0,0,0
4,5,1.40667622332096,2.72413793103449,0,0,0,0,0,0,0,0
4,6,5.16024466474217,2.63636363636362,0,0,0,0,0,0,0,0
4,7,5.47864905456975,1.70588235294117,0,0,0,0,0,0,0,0
4,8,4.1001634080654,2.24137931034483,0,0,0,0,0,0,0,0
4,9,4.47374107501613,3.58620689655173,0,0,0,0,0,0,0,0
5,6,0.740453648068716,7.18181818181817,0,0,0,0,0,0,0,0
5,7,1.19954599339824,4.6470588235294,0,0,0,0,0,0,0,0
5,8,1.65395907830758,1.21538461538462,0,0,0,0,0,0,0,0
5,9,2.46584358869329,1.31645569620253,0,0,0,0,0,0,0,0
6,7,1.73939938026941,1.54545454545455,0,0,0,0,0,0,0,0
6,8,2.35684304553236,5.90909090909089,0,0,0,0,0,0,0,0
6,9,3.38546878080193,9.45454545454542,0,0,0,0,0,0,0,0
7,8,1.66854940258411,3.82352941176469,0,0,0,0,0,0,0,0
7,9,2.83471074380165,6.11764705882351,0,0,0,0,0,0,0,0
8,9,1.2665624840062,1.6,0,0,0,0,0,0,0,0
