id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.12043855037879,1.26666666666667,0,0,0,0,0,0,0,0
1,3,1.67967701624233,2.03571428571429,0,0,0,0,0,0,0,0
1,4,3.13902162944499,1.72727272727273,0,0,0,0,0,0,0,0
1,5,5.38822330504707,1.78125,0,0,0,0,0,0,0,0
1,6,5.43478260869565,1.62857142857143,0,0,0,0,0,0,0,0
1,7,6.88682304198171,1.83870967741936,0,0,0,0,0,0,0,0
1,8,8.36295776026639,2.47826086956521,0,0,0,0,0,0,0,0
2,3,0.413008587169351,1.60714285714287,0,0,0,0,0,0,0,0
2,4,2.21242085703697,1.36363636363637,0,0,0,0,0,0,0,0
2,5,4.79333390492482,1.40625,0,0,0,0,0,0,0,0
2,6,4.89037639144473,1.28571428571429,0,0,0,0,0,0,0,0
2,7,6.53395139066884,1.45161290322581,0,0,0,0,0,0,0,0
2,8,8.22816130179181,1.95652173913043,0,0,0,0,0,0,0,0
3,4,2.33484293573117,1.17857142857143,0,0,0,0,0,0,0,0
3,5,5.65061451918679,1.14285714285715,0,0,0,0,0,0,0,0
3,6,5.73154360436065,1.25000000000001,0,0,0,0,0,0,0,0
3,7,7.90632094878086,1.10714285714286,0,0,0,0,0,0,0,0
3,8,10.3807188256487,1.21739130434782,0,0,0,0,0,0,0,0
4,5,3.0321746058294,1.03125,0,0,0,0,0,0,0,0
4,6,3.21561528496486,1.06060606060606,0,0,0,0,0,0,0,0
4,7,5.06491069146338,1.06451612903226,0,0,0,0,0,0,0,0
4,8,6.91302102512913,1.43478260869565,0,0,0,0,0,0,0,0
5,6,0.464848104549179,1.09375,0,0,0,0,0,0,0,0
5,7,2.03180803476821,1.03225806451613,0,0,0,0,0,0,0,0
5,8,3.46677261969893,1.39130434782608,0,0,0,0,0,0,0,0
6,7,1.60955879746523,1.12903225806452,0,0,0,0,0,0,0,0
6,8,2.91629152221933,1.52173913043478,0,0,0,0,0,0,0,0
7,8,1.16666666666667,1.34782608695652,0,0,0,0,0,0,0,0
