id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.845951309953829,1.51515151515152,0,0,0,0,0,0,0,0
1,3,2.0203030277779,1.02040816326531,0,0,0,0,0,0,0,0
1,4,3.27970481291652,1.36,0,0,0,0,0,0,0,0
1,5,4.66491210621141,1.2,0,0,0,0,0,0,0,0
1,6,3.69446481845268,1.1,0,0,0,0,0,0,0,0
1,7,3.03043770947783,1.21951219512195,0,0,0,0,0,0,0,0
1,8,3.5190551709661,2.17391304347826,0,0,0,0,0,0,0,0
1,9,2.76440935676358,2.17391304347826,0,0,0,0,0,0,0,0
1,10,1.75494195847711,1.21951219512195,0,0,0,0,0,0,0,0
1,11,1.24360866031079,1.66666666666667,0,0,0,0,0,0,0,0
1,12,1.0765809142969,1.19047619047619,0,0,0,0,0,0,0,0
1,13,2.04923776339249,1.78571428571429,0,0,0,0,0,0,0,0
2,3,1.71851726967953,1.48484848484849,0,0,0,0,0,0,0,0
2,4,3.22451702554576,2.06060606060607,0,0,0,0,0,0,0,0
2,5,4.84302077960727,1.81818181818182,0,0,0,0,0,0,0,0
2,6,3.65790847636838,1.66666666666667,0,0,0,0,0,0,0,0
2,7,4.49650866916028,1.24242424242424,0,0,0,0,0,0,0,0
2,8,5.59065478440293,1.43478260869565,0,0,0,0,0,0,0,0
2,9,4.56591464337785,1.43478260869565,0,0,0,0,0,0,0,0
2,10,2.87815631677361,1.24242424242424,0,0,0,0,0,0,0,0
2,11,2.12911525550568,1.1,0,0,0,0,0,0,0,0
2,12,0.67144950997409,1.27272727272727,0,0,0,0,0,0,0,0
2,13,1.69583012946557,1.17857142857143,0,0,0,0,0,0,0,0
3,4,1.5982905982906,1.38775510204082,0,0,0,0,0,0,0,0
3,5,2.87443066604523,1.22448979591837,0,0,0,0,0,0,0,0
3,6,1.85217867075571,1.12244897959184,0,0,0,0,0,0,0,0
3,7,5.25301794503543,1.19512195121951,0,0,0,0,0,0,0,0
3,8,6.29558989773745,2.13043478260869,0,0,0,0,0,0,0,0
3,9,5.50322576559971,2.13043478260869,0,0,0,0,0,0,0,0
3,10,3.92755382042636,1.19512195121951,0,0,0,0,0,0,0,0
3,11,3.47606091996498,1.63333333333333,0,0,0,0,0,0,0,0
3,12,1.81694582045776,1.16666666666667,0,0,0,0,0,0,0,0
3,13,2.20676064518045,1.75,0,0,0,0,0,0,0,0
4,5,0.990432749483778,1.13333333333334,0,0,0,0,0,0,0,0
4,6,0.464056038791229,1.23636363636364,0,0,0,0,0,0,0,0
4,7,6.04053027971021,1.65853658536586,0,0,0,0,0,0,0,0
4,8,7.01909689986533,2.95652173913044,0,0,0,0,0,0,0,0
4,9,6.38714935245934,2.95652173913044,0,0,0,0,0,0,0,0
4,10,4.94110588802585,1.65853658536586,0,0,0,0,0,0,0,0
4,11,4.66205941627012,2.26666666666667,0,0,0,0,0,0,0,0
4,12,3.09343479694905,1.61904761904763,0,0,0,0,0,0,0,0
4,13,3.35701225049894,2.42857142857144,0,0,0,0,0,0,0,0
5,6,1.18241686423687,1.09090909090909,0,0,0,0,0,0,0,0
5,7,7.75045811675078,1.46341463414634,0,0,0,0,0,0,0,0
5,8,9.19258949117173,2.6086956521739,0,0,0,0,0,0,0,0
5,9,8.49670980526457,2.6086956521739,0,0,0,0,0,0,0,0
5,10,6.56178735026332,1.46341463414634,0,0,0,0,0,0,0,0
5,11,6.44062147143206,1.99999999999999,0,0,0,0,0,0,0,0
5,12,4.5214789202536,1.42857142857143,0,0,0,0,0,0,0,0
5,13,4.95751579018337,2.14285714285714,0,0,0,0,0,0,0,0
6,7,6.79246544382491,1.34146341463415,0,0,0,0,0,0,0,0
6,8,8.10402453569914,2.39130434782609,0,0,0,0,0,0,0,0
6,9,7.36086145731733,2.39130434782609,0,0,0,0,0,0,0,0
6,10,5.54191141376832,1.34146341463415,0,0,0,0,0,0,0,0
6,11,5.265188936104,1.83333333333333,0,0,0,0,0,0,0,0
6,12,3.38177330549597,1.30952380952381,0,0,0,0,0,0,0,0
6,13,3.62059719560708,1.96428571428572,0,0,0,0,0,0,0,0
7,8,0.314058613160028,1.78260869565217,0,0,0,0,0,0,0,0
7,9,1.21965110918041,1.78260869565217,0,0,0,0,0,0,0,0
7,10,1.46468440847126,1,0,0,0,0,0,0,0,0
7,11,2.89226646704716,1.36666666666666,0,0,0,0,0,0,0,0
7,12,3.9204049133067,1.02439024390244,0,0,0,0,0,0,0,0
7,13,5.31601630975556,1.46428571428571,0,0,0,0,0,0,0,0
8,9,1.26105695758897,1,0,0,0,0,0,0,0,0
8,10,1.56632344700097,1.78260869565217,0,0,0,0,0,0,0,0
8,11,3.49566175729224,1.30434782608696,0,0,0,0,0,0,0,0
8,12,4.69724834470505,1.82608695652173,0,0,0,0,0,0,0,0
8,13,6.7994277978038,1.21739130434782,0,0,0,0,0,0,0,0
9,10,0.668048697700998,1.78260869565217,0,0,0,0,0,0,0,0
9,11,2.40223581628705,1.30434782608696,0,0,0,0,0,0,0,0
9,12,3.80525951808809,1.82608695652173,0,0,0,0,0,0,0,0
9,13,5.68062599774524,1.21739130434782,0,0,0,0,0,0,0,0
10,11,1.22089199621236,1.36666666666666,0,0,0,0,0,0,0,0
10,12,2.48280485143793,1.02439024390244,0,0,0,0,0,0,0,0
10,13,3.63710371304555,1.46428571428571,0,0,0,0,0,0,0,0
11,12,1.66759233553374,1.4,0,0,0,0,0,0,0,0
11,13,2.84064478286214,1.07142857142857,0,0,0,0,0,0,0,0
12,13,0.868613720774873,1.5,0,0,0,0,0,0,0,0
