id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.18732437146299,3.42424242424243,0,0,0,0,0,0,0,0
1,3,1.72635467199378,2.05454545454546,0,0,0,0,0,0,0,0
1,4,3.16070315664797,3.05405405405406,0,0,0,0,0,0,0,0
1,5,3.50945650451497,2.45652173913045,0,0,0,0,0,0,0,0
1,6,4.68842410916765,2.75609756097561,0,0,0,0,0,0,0,0
1,7,5.00042716787775,2.825,0,0,0,0,0,0,0,0
1,8,5.90935946250248,2.62790697674418,0,0,0,0,0,0,0,0
2,3,1.34042749440938,1.66666666666667,0,0,0,0,0,0,0,0
2,4,4.30002373035692,1.12121212121212,0,0,0,0,0,0,0,0
2,5,4.876195164487,1.39393939393939,0,0,0,0,0,0,0,0
2,6,7.41936197170635,1.24242424242424,0,0,0,0,0,0,0,0
2,7,8.1096006108766,1.21212121212122,0,0,0,0,0,0,0,0
2,8,9.95505829192214,1.30303030303031,0,0,0,0,0,0,0,0
3,4,2.00578087033728,1.48648648648649,0,0,0,0,0,0,0,0
3,5,2.65353923349176,1.19565217391305,0,0,0,0,0,0,0,0
3,6,4.50097645655918,1.34146341463415,0,0,0,0,0,0,0,0
3,7,5.0021712737094,1.375,0,0,0,0,0,0,0,0
3,8,6.53222237804013,1.27906976744186,0,0,0,0,0,0,0,0
4,5,1.02232305713718,1.24324324324324,0,0,0,0,0,0,0,0
4,6,3.1801333090372,1.10810810810811,0,0,0,0,0,0,0,0
4,7,3.77922077922078,1.08108108108108,0,0,0,0,0,0,0,0
4,8,5.92075269708168,1.16216216216216,0,0,0,0,0,0,0,0
5,6,1.88677381913588,1.12195121951219,0,0,0,0,0,0,0,0
5,7,2.41101784125035,1.14999999999999,0,0,0,0,0,0,0,0
5,8,4.42214418261343,1.06976744186046,0,0,0,0,0,0,0,0
6,7,0.534441007948478,1.025,0,0,0,0,0,0,0,0
6,8,3.195292207334,1.04878048780488,0,0,0,0,0,0,0,0
7,8,2.96397786014119,1.075,0,0,0,0,0,0,0,0
