id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.812474208461888,1.45652173913043,0,0,0,0,0,0,0,0
1,3,1.39014881051672,1.19642857142857,0,0,0,0,0,0,0,0
1,4,2.94448722854296,1.13559322033898,0,0,0,0,0,0,0,0
1,5,3.82035342718995,1.14925373134328,0,0,0,0,0,0,0,0
2,3,0.876999007266619,1.21739130434783,0,0,0,0,0,0,0,0
2,4,2.84345929652158,1.28260869565218,0,0,0,0,0,0,0,0
2,5,3.87842373466452,1.67391304347826,0,0,0,0,0,0,0,0
3,4,1.8214018573335,1.05357142857143,0,0,0,0,0,0,0,0
3,5,2.91458870062285,1.375,0,0,0,0,0,0,0,0
4,5,1.31822876471596,1.30508474576271,0,0,0,0,0,0,0,0
