id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.74232222289537,1.11764705882353,0,0,0,0,0,0,0,0
1,3,1.84373219923517,1.84210526315789,0,0,0,0,0,0,0,0
1,4,4.13718501176039,1.15789473684211,0,0,0,0,0,0,0,0
1,5,4.55135980043963,1.35714285714286,0,0,0,0,0,0,0,0
1,6,5.36479224520017,1.15151515151515,0,0,0,0,0,0,0,0
1,7,8.56676201656937,1.65217391304349,0,0,0,0,0,0,0,0
2,3,1.12351973620099,2.05882352941176,0,0,0,0,0,0,0,0
2,4,2.83019898567006,1.29411764705882,0,0,0,0,0,0,0,0
2,5,2.82165883565102,1.21428571428571,0,0,0,0,0,0,0,0
2,6,3.81652034954948,1.03030303030303,0,0,0,0,0,0,0,0
2,7,6.96888834319507,1.47826086956523,0,0,0,0,0,0,0,0
3,4,1.42181049749858,1.59090909090909,0,0,0,0,0,0,0,0
3,5,1.7626794189134,2.5,0,0,0,0,0,0,0,0
3,6,2.25286654569921,2.12121212121212,0,0,0,0,0,0,0,0
3,7,3.9504972457708,3.04347826086958,0,0,0,0,0,0,0,0
4,5,1.29218926106811,1.57142857142857,0,0,0,0,0,0,0,0
4,6,1.1390876441947,1.33333333333333,0,0,0,0,0,0,0,0
4,7,3.09945057973034,1.91304347826088,0,0,0,0,0,0,0,0
5,6,1.3491514448236,1.17857142857143,0,0,0,0,0,0,0,0
5,7,4.36423195637125,1.21739130434783,0,0,0,0,0,0,0,0
6,7,2.53351262568194,1.43478260869566,0,0,0,0,0,0,0,0
