id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.00867399445245,1.01538461538462,0,0,0,0,0,0,0,0
1,3,5.78049305855478,1.85714285714285,0,0,0,0,0,0,0,0
1,4,8.76319415235814,2.24137931034482,0,0,0,0,0,0,0,0
1,5,10.258133999039,3.09523809523811,0,0,0,0,0,0,0,0
1,6,10.3769656899663,2.24137931034484,0,0,0,0,0,0,0,0
2,3,4.42538816221093,1.88571428571428,0,0,0,0,0,0,0,0
2,4,7.30820508030835,2.27586206896551,0,0,0,0,0,0,0,0
2,5,8.62880843748809,3.14285714285716,0,0,0,0,0,0,0,0
2,6,8.88279484854456,2.27586206896553,0,0,0,0,0,0,0,0
3,4,3.9207543219545,1.20689655172414,0,0,0,0,0,0,0,0
3,5,5.43717011666465,1.66666666666668,0,0,0,0,0,0,0,0
3,6,6.21592272414161,1.20689655172414,0,0,0,0,0,0,0,0
4,5,1.98070694450239,1.38095238095239,0,0,0,0,0,0,0,0
4,6,3.02707756311715,1.00000000000001,0,0,0,0,0,0,0,0
5,6,1.86686903664934,1.38095238095238,0,0,0,0,0,0,0,0
