id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.52347236991436,1.29032258064517,0,0,0,0,0,0,0,0
1,3,2.94746988707226,1.03225806451613,0,0,0,0,0,0,0,0
1,4,3.67258045823672,1.32258064516129,0,0,0,0,0,0,0,0
1,5,5.24608414088844,1.87096774193549,0,0,0,0,0,0,0,0
1,6,5.49997513212581,2.51612903225807,0,0,0,0,0,0,0,0
1,7,2.75320999730428,1.29166666666666,0,0,0,0,0,0,0,0
2,3,1.07842549265578,1.25,0,0,0,0,0,0,0,0
2,4,1.92912839157117,1.025,0,0,0,0,0,0,0,0
2,5,3.68373000126218,1.45,0,0,0,0,0,0,0,0
2,6,4.16739819299009,1.94999999999999,0,0,0,0,0,0,0,0
2,7,0.719768300392562,1.66666666666667,0,0,0,0,0,0,0,0
3,4,1.08227847753993,1.28125,0,0,0,0,0,0,0,0
3,5,3.16247285646869,1.8125,0,0,0,0,0,0,0,0
3,6,3.76484389939037,2.43749999999999,0,0,0,0,0,0,0,0
3,7,0.672197508025666,1.33333333333333,0,0,0,0,0,0,0,0
4,5,2.14122354783614,1.41463414634146,0,0,0,0,0,0,0,0
4,6,2.8280276293876,1.90243902439024,0,0,0,0,0,0,0,0
4,7,1.77883679831219,1.70833333333333,0,0,0,0,0,0,0,0
5,6,1.04979813515146,1.3448275862069,0,0,0,0,0,0,0,0
5,7,3.85159330273342,2.41666666666666,0,0,0,0,0,0,0,0
6,7,4.39474932243856,3.24999999999999,0,0,0,0,0,0,0,0
