id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.48427353705362,1.1764705882353,0,0,0,0,0,0,0,0
1,3,2.68058517645673,1.17647058823529,0,0,0,0,0,0,0,0
1,4,5.45964453280857,3.7,0,0,0,0,0,0,0,0
1,5,8.60200653139156,5.64999999999999,0,0,0,0,0,0,0,0
1,6,9.06827656202106,3.29999999999998,0,0,0,0,0,0,0,0
2,3,1.40470046308936,1,0,0,0,0,0,0,0,0
2,4,5.15862380770507,4.3529411764706,0,0,0,0,0,0,0,0
2,5,8.40739671519236,6.64705882352943,0,0,0,0,0,0,0,0
2,6,8.78973259217545,3.88235294117647,0,0,0,0,0,0,0,0
3,4,4.64108490787302,4.35294117647059,0,0,0,0,0,0,0,0
3,5,8.04381492700333,6.64705882352941,0,0,0,0,0,0,0,0
3,6,8.21726494463162,3.88235294117645,0,0,0,0,0,0,0,0
4,5,3.52426297589894,1.52702702702703,0,0,0,0,0,0,0,0
4,6,2.14305951425355,1.12121212121213,0,0,0,0,0,0,0,0
5,6,2.04146186722921,1.71212121212122,0,0,0,0,0,0,0,0
