id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.801895599387316,2,0,0,0,0,0,0,0,0
1,3,1.29629291004849,2.68852459016394,0,0,0,0,0,0,0,0
1,4,2.03436944872022,1.92941176470588,0,0,0,0,0,0,0,0
1,5,2.53359300098344,1.07894736842105,0,0,0,0,0,0,0,0
2,3,0.923315290265681,1.34426229508197,0,0,0,0,0,0,0,0
2,4,2.21622421121678,1.03658536585366,0,0,0,0,0,0,0,0
2,5,2.98272536371831,1.85365853658536,0,0,0,0,0,0,0,0
3,4,1.6306549194469,1.39344262295082,0,0,0,0,0,0,0,0
3,5,2.66588959120255,2.49180327868853,0,0,0,0,0,0,0,0
4,5,1.42266067499576,1.78823529411765,0,0,0,0,0,0,0,0
