id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.40663711776106,1.41666666666667,0,0,0,0,0,0,0,0
1,3,1.13463433275776,1.23636363636364,0,0,0,0,0,0,0,0
1,4,2.56933702869149,1.47826086956522,0,0,0,0,0,0,0,0
1,5,2.76049325768574,1.58139534883721,0,0,0,0,0,0,0,0
1,6,3.57364575748632,1.19298245614035,0,0,0,0,0,0,0,0
1,7,3.9224085571099,1.20588235294117,0,0,0,0,0,0,0,0
1,8,5.98756507864321,1.11764705882353,0,0,0,0,0,0,0,0
1,9,5.85379968212849,1.23636363636364,0,0,0,0,0,0,0,0
1,10,3.81684389064154,4.53333333333335,0,0,0,0,0,0,0,0
1,11,6.85692638478544,4.00000000000001,0,0,0,0,0,0,0,0
2,3,0.89951338422528,1.14583333333333,0,0,0,0,0,0,0,0
2,4,2.63906989390853,1.04347826086956,0,0,0,0,0,0,0,0
2,5,2.8555574637772,1.11627906976744,0,0,0,0,0,0,0,0
2,6,3.82479083654396,1.1875,0,0,0,0,0,0,0,0
2,7,4.19987320180535,1.70833333333333,0,0,0,0,0,0,0,0
2,8,6.60315961956838,1.58333333333333,0,0,0,0,0,0,0,0
2,9,6.54092304180792,1.14583333333333,0,0,0,0,0,0,0,0
2,10,4.3048368209991,3.20000000000001,0,0,0,0,0,0,0,0
2,11,8.24158886272839,2.82352941176471,0,0,0,0,0,0,0,0
3,4,1.57235703216676,1.19565217391304,0,0,0,0,0,0,0,0
3,5,1.70774383459037,1.27906976744186,0,0,0,0,0,0,0,0
3,6,2.77678571428571,1.03636363636364,0,0,0,0,0,0,0,0
3,7,3.35647392420976,1.49090909090909,0,0,0,0,0,0,0,0
3,8,5.57486095306418,1.38181818181818,0,0,0,0,0,0,0,0
3,9,5.28478245719109,1,0,0,0,0,0,0,0,0
3,10,2.71202913716212,3.66666666666668,0,0,0,0,0,0,0,0
3,11,6.15968699100535,3.23529411764707,0,0,0,0,0,0,0,0
4,5,0.500599312583043,1.06976744186046,0,0,0,0,0,0,0,0
4,6,1.49353715017907,1.23913043478261,0,0,0,0,0,0,0,0
4,7,2.35665716806932,1.78260869565217,0,0,0,0,0,0,0,0
4,8,4.68479732620716,1.65217391304348,0,0,0,0,0,0,0,0
4,9,4.25535293772968,1.19565217391304,0,0,0,0,0,0,0,0
4,10,2.64275311887038,3.06666666666668,0,0,0,0,0,0,0,0
4,11,4.8916195218955,2.70588235294119,0,0,0,0,0,0,0,0
5,6,1.48660687473185,1.32558139534884,0,0,0,0,0,0,0,0
5,7,2.45787550539079,1.90697674418604,0,0,0,0,0,0,0,0
5,8,4.78597065883561,1.76744186046511,0,0,0,0,0,0,0,0
5,9,4.22425563779715,1.27906976744186,0,0,0,0,0,0,0,0
5,10,2.07735368565757,2.86666666666668,0,0,0,0,0,0,0,0
5,11,4.67359604587302,2.52941176470589,0,0,0,0,0,0,0,0
6,7,1.16903707770242,1.43859649122806,0,0,0,0,0,0,0,0
6,8,3.16552068827258,1.33333333333333,0,0,0,0,0,0,0,0
6,9,2.48774098924945,1.03636363636364,0,0,0,0,0,0,0,0
6,10,3.23909018814135,3.80000000000001,0,0,0,0,0,0,0,0
6,11,2.49312421894172,3.3529411764706,0,0,0,0,0,0,0,0
7,8,1.74557375092452,1.07894736842105,0,0,0,0,0,0,0,0
7,9,1.52905335282612,1.49090909090909,0,0,0,0,0,0,0,0
7,10,4.06883590923579,5.46666666666666,0,0,0,0,0,0,0,0
7,11,2.35151862265009,4.8235294117647,0,0,0,0,0,0,0,0
8,9,1.64106159350049,1.38181818181818,0,0,0,0,0,0,0,0
8,10,6.97091443858922,5.06666666666668,0,0,0,0,0,0,0,0
8,11,4.02905966340821,4.47058823529413,0,0,0,0,0,0,0,0
9,10,6.43973633634427,3.66666666666668,0,0,0,0,0,0,0,0
9,11,2.32944451069242,3.23529411764707,0,0,0,0,0,0,0,0
10,11,9.09809818725872,1.13333333333333,0,0,0,0,0,0,0,0
