id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.95415821033135,1.41666666666667,0,0,0,0,0,0,0,0
1,3,3.04021380827073,1.77777777777778,0,0,0,0,0,0,0,0
1,4,5.03146268147357,1.47222222222222,0,0,0,0,0,0,0,0
1,5,6.16510939430426,1.52777777777778,0,0,0,0,0,0,0,0
1,6,7.84411393700972,1.5,0,0,0,0,0,0,0,0
1,7,9.01494081703282,1.47222222222222,0,0,0,0,0,0,0,0
1,8,8.66338266872561,1.86111111111111,0,0,0,0,0,0,0,0
1,9,12.302708936967,1.05555555555555,0,0,0,0,0,0,0,0
1,10,13.4834527191635,1.11111111111111,0,0,0,0,0,0,0,0
1,11,16.4386188897036,1.20000000000001,0,0,0,0,0,0,0,0
1,12,15.9343270261965,1,0,0,0,0,0,0,0,0
1,13,16.5223579623781,1.05555555555556,0,0,0,0,0,0,0,0
2,3,1.18315204909029,1.25490196078431,0,0,0,0,0,0,0,0
2,4,2.68420828409906,1.03921568627451,0,0,0,0,0,0,0,0
2,5,3.70965900774184,1.07843137254902,0,0,0,0,0,0,0,0
2,6,5.10612988067055,1.05882352941176,0,0,0,0,0,0,0,0
2,7,6.08027688611583,1.03921568627451,0,0,0,0,0,0,0,0
2,8,6.12628050624012,1.31372549019608,0,0,0,0,0,0,0,0
2,9,8.31935030190322,1.3421052631579,0,0,0,0,0,0,0,0
2,10,9.39341919193672,1.275,0,0,0,0,0,0,0,0
2,11,11.2984076823274,1.70000000000001,0,0,0,0,0,0,0,0
2,12,11.2343018879104,1.41666666666666,0,0,0,0,0,0,0,0
2,13,11.8279335737342,1.34210526315789,0,0,0,0,0,0,0,0
3,4,1.22892787233097,1.20754716981132,0,0,0,0,0,0,0,0
3,5,2.16242507328807,1.16363636363636,0,0,0,0,0,0,0,0
3,6,3.41529629447966,1.18518518518519,0,0,0,0,0,0,0,0
3,7,4.2747348655553,1.20754716981132,0,0,0,0,0,0,0,0
3,8,4.49237127643442,1.046875,0,0,0,0,0,0,0,0
3,9,5.96130028726585,1.6842105263158,0,0,0,0,0,0,0,0
3,10,6.94241423314796,1.6,0,0,0,0,0,0,0,0
3,11,8.3146379999473,2.13333333333335,0,0,0,0,0,0,0,0
3,12,8.4421383547061,1.77777777777777,0,0,0,0,0,0,0,0
3,13,9.01974104760973,1.68421052631578,0,0,0,0,0,0,0,0
4,5,1.06074099937924,1.0377358490566,0,0,0,0,0,0,0,0
4,6,2.43294202923841,1.0188679245283,0,0,0,0,0,0,0,0
4,7,3.37754294847816,1,0,0,0,0,0,0,0,0
