id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.91506553642092,3.89473684210526,0,0,0,0,0,0,0,0
1,3,2.68779550911482,2.8421052631579,0,0,0,0,0,0,0,0
1,4,2.62208292107932,4.21052631578947,0,0,0,0,0,0,0,0
1,5,3.78898468704714,3.63157894736842,0,0,0,0,0,0,0,0
1,6,8.19327886710226,3.42105263157894,0,0,0,0,0,0,0,0
1,7,14.4580470315649,2.47368421052631,0,0,0,0,0,0,0,0
1,8,20.9628754888333,1.31578947368422,0,0,0,0,0,0,0,0
2,3,1.1029191557238,1.37037037037037,0,0,0,0,0,0,0,0
2,4,1.46789157771494,1.08108108108108,0,0,0,0,0,0,0,0
2,5,2.18468522402983,1.07246376811594,0,0,0,0,0,0,0,0
2,6,5.34223891155837,1.13846153846154,0,0,0,0,0,0,0,0
2,7,8.2952854979019,1.57446808510639,0,0,0,0,0,0,0,0
2,8,9.90517226030807,2.95999999999998,0,0,0,0,0,0,0,0
3,4,0.640618505433015,1.48148148148148,0,0,0,0,0,0,0,0
3,5,1.40276301194627,1.27777777777778,0,0,0,0,0,0,0,0
3,6,5.0729165209084,1.2037037037037,0,0,0,0,0,0,0,0
3,7,8.54884419009787,1.14893617021277,0,0,0,0,0,0,0,0
3,8,10.6510544427991,2.15999999999999,0,0,0,0,0,0,0,0
4,5,0.581883452141443,1.15942028985507,0,0,0,0,0,0,0,0
4,6,3.62263330425189,1.23076923076923,0,0,0,0,0,0,0,0
4,7,6.15846700514275,1.70212765957447,0,0,0,0,0,0,0,0
4,8,7.2579989496303,3.19999999999997,0,0,0,0,0,0,0,0
5,6,3.3455815663245,1.06153846153846,0,0,0,0,0,0,0,0
5,7,6.04039734776664,1.46808510638298,0,0,0,0,0,0,0,0
5,8,7.26651036804649,2.75999999999998,0,0,0,0,0,0,0,0
6,7,2.3751510424581,1.38297872340426,0,0,0,0,0,0,0,0
6,8,2.64556465535791,2.59999999999998,0,0,0,0,0,0,0,0
7,8,0.789714943101637,1.87999999999998,0,0,0,0,0,0,0,0
