id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.13049043252755,1.23529411764706,0,0,0,0,0,0,0,0
1,3,2.14794892674263,1.20634920634921,0,0,0,0,0,0,0,0
1,4,0.659811041763146,1.125,0,0,0,0,0,0,0,0
1,5,0.702299420513932,1.3695652173913,0,0,0,0,0,0,0,0
1,6,1.68497371900307,1.3125,0,0,0,0,0,0,0,0
1,7,1.72733139240171,1.05,0,0,0,0,0,0,0,0
1,8,2.91471740026596,1.03278688524591,0,0,0,0,0,0,0,0
1,9,4.19576001954144,1.05,0,0,0,0,0,0,0,0
1,10,5.01708185098556,1.34920634920635,0,0,0,0,0,0,0,0
1,11,6.79748324099125,1.01587301587301,0,0,0,0,0,0,0,0
1,12,6.34029125735872,1.47619047619048,0,0,0,0,0,0,0,0
2,3,1.37797525290972,1.49019607843137,0,0,0,0,0,0,0,0
2,4,1.65549872895623,1.09803921568627,0,0,0,0,0,0,0,0
2,5,1.00275950429085,1.10869565217391,0,0,0,0,0,0,0,0
2,6,0.587771172766713,1.0625,0,0,0,0,0,0,0,0
2,7,0.753801608856179,1.17647058823529,0,0,0,0,0,0,0,0
2,8,2.09486815254102,1.19607843137254,0,0,0,0,0,0,0,0
2,9,3.58395544455012,1.17647058823529,0,0,0,0,0,0,0,0
2,10,4.57566268575829,1.66666666666667,0,0,0,0,0,0,0,0
2,11,6.45217391304348,1.25490196078431,0,0,0,0,0,0,0,0
2,12,6.03933943044874,1.82352941176471,0,0,0,0,0,0,0,0
3,4,2.66735528298974,1.35714285714286,0,0,0,0,0,0,0,0
3,5,2.21519331655799,1.65217391304348,0,0,0,0,0,0,0,0
3,6,0.981090730693262,1.58333333333333,0,0,0,0,0,0,0,0
3,7,0.774575729385859,1.26666666666667,0,0,0,0,0,0,0,0
3,8,0.4920920814798,1.24590163934427,0,0,0,0,0,0,0,0
3,9,1.6476167647424,1.26666666666667,0,0,0,0,0,0,0,0
3,10,2.77864763545061,1.11842105263158,0,0,0,0,0,0,0,0
3,11,4.05000629881093,1.1875,0,0,0,0,0,0,0,0
3,12,4.11114875230552,1.22368421052632,0,0,0,0,0,0,0,0
4,5,0.832641004219081,1.21739130434783,0,0,0,0,0,0,0,0
4,6,2.23375132242025,1.16666666666667,0,0,0,0,0,0,0,0
4,7,2.19435078928705,1.07142857142857,0,0,0,0,0,0,0,0
4,8,3.50390867394182,1.08928571428571,0,0,0,0,0,0,0,0
4,9,4.95486465101412,1.07142857142857,0,0,0,0,0,0,0,0
4,10,5.66966607701706,1.51785714285715,0,0,0,0,0,0,0,0
4,11,7.65855549188111,1.14285714285714,0,0,0,0,0,0,0,0
4,12,7.02552502606081,1.66071428571429,0,0,0,0,0,0,0,0
5,6,1.58639102591329,1.04347826086956,0,0,0,0,0,0,0,0
5,7,1.60654588357796,1.30434782608695,0,0,0,0,0,0,0,0
5,8,3.04816203898007,1.32608695652173,0,0,0,0,0,0,0,0
5,9,4.66069244981725,1.30434782608696,0,0,0,0,0,0,0,0
5,10,5.47595939944109,1.84782608695652,0,0,0,0,0,0,0,0
5,11,7.60339745722674,1.39130434782608,0,0,0,0,0,0,0,0
5,12,6.94104805695644,2.02173913043478,0,0,0,0,0,0,0,0
6,7,0.24445145893415,1.25,0,0,0,0,0,0,0,0
6,8,1.63047424350477,1.27083333333333,0,0,0,0,0,0,0,0
6,9,3.2012139758328,1.25,0,0,0,0,0,0,0,0
6,10,4.27272136799467,1.77083333333334,0,0,0,0,0,0,0,0
6,11,6.13627398494945,1.33333333333333,0,0,0,0,0,0,0,0
6,12,5.7852737953948,1.9375,0,0,0,0,0,0,0,0
7,8,1.28925619834711,1.01666666666667,0,0,0,0,0,0,0,0
7,9,2.73517468465098,1,0,0,0,0,0,0,0,0
7,10,3.78388849312695,1.41666666666667,0,0,0,0,0,0,0,0
7,11,5.37837931907894,1.06666666666667,0,0,0,0,0,0,0,0
7,12,5.20258974605789,1.55,0,0,0,0,0,0,0,0
8,9,1.48358041909226,1.01666666666666,0,0,0,0,0,0,0,0
8,10,2.696717213675,1.39344262295083,0,0,0,0,0,0,0,0
8,11,4.08959655711906,1.04918032786885,0,0,0,0,0,0,0,0
8,12,4.16055941916284,1.52459016393443,0,0,0,0,0,0,0,0
9,10,1.5641190779135,1.41666666666667,0,0,0,0,0,0,0,0
9,11,2.8071004070231,1.06666666666667,0,0,0,0,0,0,0,0
9,12,3.09161381056772,1.55,0,0,0,0,0,0,0,0
10,11,0.815401717168995,1.328125,0,0,0,0,0,0,0,0
10,12,1.39019689001448,1.09411764705882,0,0,0,0,0,0,0,0
11,12,0.837404016369828,1.453125,0,0,0,0,0,0,0,0
