id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.87301236179012,1.15942028985507,0,0,0,0,0,0,0,0
1,3,2.90584374973934,1.18840579710145,0,0,0,0,0,0,0,0
1,4,4.53999395802338,1.08695652173913,0,0,0,0,0,0,0,0
1,5,6.47906077499557,1.05797101449275,0,0,0,0,0,0,0,0
2,3,0.989677711308246,1.025,0,0,0,0,0,0,0,0
2,4,2.41872680020441,1.06666666666666,0,0,0,0,0,0,0,0
2,5,4.20631780632466,1.09589041095891,0,0,0,0,0,0,0,0
3,4,1.39030157013546,1.09333333333333,0,0,0,0,0,0,0,0
3,5,3.16895056109887,1.12328767123288,0,0,0,0,0,0,0,0
4,5,1.85250999451184,1.02739726027398,0,0,0,0,0,0,0,0
