id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.18370079208173,1.13953488372093,0,0,0,0,0,0,0,0
1,3,0.957874201238092,1.32432432432432,0,0,0,0,0,0,0,0
1,4,1.51878662186897,1.36111111111111,0,0,0,0,0,0,0,0
1,5,6.65942247308172,2.04166666666666,0,0,0,0,0,0,0,0
2,3,1.48834009890213,1.16216216216216,0,0,0,0,0,0,0,0
2,4,0.916039488677501,1.19444444444445,0,0,0,0,0,0,0,0
2,5,4.27233428891405,1.79166666666666,0,0,0,0,0,0,0,0
3,4,0.67165209162363,1.02777777777778,0,0,0,0,0,0,0,0
3,5,6.61913540480337,1.54166666666666,0,0,0,0,0,0,0,0
4,5,5.97643520652385,1.49999999999999,0,0,0,0,0,0,0,0
