id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.44973656610817,1.03389830508474,0,0,0,0,0,0,0,0
1,3,2.87205520624771,1.525,0,0,0,0,0,0,0,0
1,4,2.46649481402744,1.07017543859649,0,0,0,0,0,0,0,0
1,5,5.52824080648935,1.32608695652174,0,0,0,0,0,0,0,0
1,6,6.43402973401231,1.45238095238096,0,0,0,0,0,0,0,0
1,7,7.95565836370569,1.56410256410257,0,0,0,0,0,0,0,0
1,8,5.34323886791307,1.01639344262295,0,0,0,0,0,0,0,0
1,9,6.99469348588281,2.65217391304349,0,0,0,0,0,0,0,0
1,10,7.53937665946086,2.25925925925926,0,0,0,0,0,0,0,0
1,11,5.27784871401168,3.58823529411765,0,0,0,0,0,0,0,0
1,12,9.23368484587558,3.04999999999999,0,0,0,0,0,0,0,0
1,13,9.51865465131557,2.44000000000001,0,0,0,0,0,0,0,0
1,14,9.7143015354161,2.10344827586207,0,0,0,0,0,0,0,0
1,15,8.7254180992629,1.74285714285714,0,0,0,0,0,0,0,0
2,3,1.18229292027471,1.47500000000001,0,0,0,0,0,0,0,0
2,4,1.08706178728249,1.03508771929825,0,0,0,0,0,0,0,0
2,5,4.10493867700238,1.28260869565218,0,0,0,0,0,0,0,0
2,6,4.93368432865324,1.40476190476191,0,0,0,0,0,0,0,0
2,7,6.46421927063448,1.51282051282052,0,0,0,0,0,0,0,0
2,8,4.24385597106876,1.05084745762712,0,0,0,0,0,0,0,0
2,9,5.05132785977473,2.56521739130437,0,0,0,0,0,0,0,0
2,10,5.72028026181072,2.18518518518519,0,0,0,0,0,0,0,0
2,11,3.13547413654487,3.47058823529413,0,0,0,0,0,0,0,0
2,12,7.3112635424669,2.95,0,0,0,0,0,0,0,0
2,13,7.72797873501203,2.36000000000001,0,0,0,0,0,0,0,0
2,14,8.04026058590491,2.03448275862069,0,0,0,0,0,0,0,0
2,15,7.13426178823113,1.68571428571429,0,0,0,0,0,0,0,0
3,4,0.427182460929911,1.425,0,0,0,0,0,0,0,0
3,5,3.7355273273256,1.15,0,0,0,0,0,0,0,0
3,6,4.69518530207499,1.05,0,0,0,0,0,0,0,0
3,7,6.59592062438536,1.02564102564103,0,0,0,0,0,0,0,0
3,8,4.08183540069536,1.55000000000001,0,0,0,0,0,0,0,0
3,9,4.72197545040158,1.73913043478261,0,0,0,0,0,0,0,0
3,10,5.59661690127042,1.48148148148148,0,0,0,0,0,0,0,0
3,11,2.2710321331568,2.35294117647059,0,0,0,0,0,0,0,0
3,12,7.68161586010537,1.99999999999999,0,0,0,0,0,0,0,0
3,13,8.19571254632641,1.6,0,0,0,0,0,0,0,0
3,14,8.58339374508446,1.37931034482758,0,0,0,0,0,0,0,0
3,15,7.40335059280595,1.14285714285714,0,0,0,0,0,0,0,0
4,5,2.96118096446463,1.23913043478261,0,0,0,0,0,0,0,0
4,6,3.77028912603106,1.35714285714286,0,0,0,0,0,0,0,0
4,7,5.29048748344613,1.46153846153847,0,0,0,0,0,0,0,0
4,8,3.280756645836,1.08771929824562,0,0,0,0,0,0,0,0
4,9,3.77375807385689,2.47826086956523,0,0,0,0,0,0,0,0
4,10,4.44623334179677,2.11111111111111,0,0,0,0,0,0,0,0
4,11,2.06336793058017,3.35294117647059,0,0,0,0,0,0,0,0
4,12,5.93614471975861,2.84999999999999,0,0,0,0,0,0,0,0
4,13,6.43372148600086,2.28,0,0,0,0,0,0,0,0
4,14,6.78840754629556,1.96551724137931,0,0,0,0,0,0,0,0
4,15,5.94600984537409,1.62857142857143,0,0,0,0,0,0,0,0
5,6,0.876990062798853,1.0952380952381,0,0,0,0,0,0,0,0
5,7,2.40083607121154,1.17948717948718,0,0,0,0,0,0,0,0
5,8,1.22593431797508,1.34782608695653,0,0,0,0,0,0,0,0
5,9,2.2475452781552,2.00000000000001,0,0,0,0,0,0,0,0
5,10,1.90603037051245,1.7037037037037,0,0,0,0,0,0,0,0
5,11,4.2093131216877,2.70588235294118,0,0,0,0,0,0,0,0
5,12,2.83916107838521,2.3,0,0,0,0,0,0,0,0
5,13,3.4494392622517,1.84000000000001,0,0,0,0,0,0,0,0
5,14,3.83898134637012,1.58620689655172,0,0,0,0,0,0,0,0
5,15,3.12062527197617,1.31428571428572,0,0,0,0,0,0,0,0
6,7,1.68449540443598,1.07692307692308,0,0,0,0,0,0,0,0
6,8,1.47143662440656,1.47619047619048,0,0,0,0,0,0,0,0
6,9,2.37152735844104,1.82608695652174,0,0,0,0,0,0,0,0
6,10,1.37092563366788,1.55555555555555,0,0,0,0,0,0,0,0
6,11,5.25369051282967,2.47058823529412,0,0,0,0,0,0,0,0
6,12,1.83934623955628,2.09999999999999,0,0,0,0,0,0,0,0
6,13,2.50448472772192,1.68,0,0,0,0,0,0,0,0
6,14,2.99493720788778,1.44827586206896,0,0,0,0,0,0,0,0
6,15,2.29591143343344,1.2,0,0,0,0,0,0,0,0
7,8,1.92632152970889,1.5897435897436,0,0,0,0,0,0,0,0
7,9,4.40015253732381,1.69565217391304,0,0,0,0,0,0,0,0
7,10,2.85769786685985,1.44444444444444,0,0,0,0,0,0,0,0
7,11,7.93052180000841,2.29411764705882,0,0,0,0,0,0,0,0
7,12,2.1248046026054,1.94999999999999,0,0,0,0,0,0,0,0
7,13,1.6412945062511,1.56,0,0,0,0,0,0,0,0
7,14,1.44574605685081,1.34482758620689,0,0,0,0,0,0,0,0
7,15,1.02221489995014,1.11428571428571,0,0,0,0,0,0,0,0
8,9,3.35217741559207,2.69565217391306,0,0,0,0,0,0,0,0
8,10,2.76710345079207,2.2962962962963,0,0,0,0,0,0,0,0
8,11,4.89312143706375,3.64705882352943,0,0,0,0,0,0,0,0
8,12,3.09681669567943,3.1,0,0,0,0,0,0,0,0
8,13,3.24099206947474,2.48000000000001,0,0,0,0,0,0,0,0
8,14,3.21829842510745,2.13793103448276,0,0,0,0,0,0,0,0
8,15,2.75504734922688,1.77142857142858,0,0,0,0,0,0,0,0
